category	term	number_of_genes	ratio_in_set	ncbiTaxonId	inputGenes	preferredNames	description
COMPARTMENTS	GOCC:0000408	2	0.002	360095	360095.BARBAKC583_1241,360095.BARBAKC583_1355	ABM45248.1,ABM45466.1	EKC/KEOPS complex
COMPARTMENTS	GOCC:0000428	20	0.018	360095	360095.BARBAKC583_0126,360095.BARBAKC583_0159,360095.BARBAKC583_0187,360095.BARBAKC583_0250,360095.BARBAKC583_0287,360095.BARBAKC583_0467,360095.BARBAKC583_0470,360095.BARBAKC583_0567,360095.BARBAKC583_0568,360095.BARBAKC583_0571,360095.BARBAKC583_0572,360095.BARBAKC583_0606,360095.BARBAKC583_0722,360095.BARBAKC583_0750,360095.BARBAKC583_0793,360095.BARBAKC583_0830,360095.BARBAKC583_0872,360095.BARBAKC583_0966,360095.BARBAKC583_0967,360095.BARBAKC583_1070	rpoH1,ABM45241.1,ABM45163.1,ABM44661.1,rpoH2,rpoZ,ABM44830.1,rplK,rplA,rpoB,rpoC,nadE,rpoA,ABM45465.1,ABM44416.1,ABM45639.1,dnaE,rpoD,dnaG,ABM44990.1	DNA-directed RNA polymerase complex
COMPARTMENTS	GOCC:0000502	6	0.005	360095	360095.BARBAKC583_0063,360095.BARBAKC583_0547,360095.BARBAKC583_0850,360095.BARBAKC583_1260,360095.BARBAKC583_1261,360095.BARBAKC583_1345	ABM44518.1,clpX,grp,hslU,hslV,ABM45475.1	Proteasome complex
COMPARTMENTS	GOCC:0000785	5	0.004	360095	360095.BARBAKC583_0180,360095.BARBAKC583_0341,360095.BARBAKC583_0423,360095.BARBAKC583_0608,360095.BARBAKC583_0874	ABM45388.1,guaB,ABM45138.1,ABM45423.1,ABM44539.1	Chromatin
COMPARTMENTS	GOCC:0000786	2	0.002	360095	360095.BARBAKC583_0180,360095.BARBAKC583_0423	ABM45388.1,ABM45138.1	Nucleosome
COMPARTMENTS	GOCC:0005576	13	0.011	360095	360095.BARBAKC583_0156,360095.BARBAKC583_0324,360095.BARBAKC583_0532,360095.BARBAKC583_0623,360095.BARBAKC583_0848,360095.BARBAKC583_0900,360095.BARBAKC583_0936,360095.BARBAKC583_0946,360095.BARBAKC583_1009,360095.BARBAKC583_1040,360095.BARBAKC583_1120,360095.BARBAKC583_1121,360095.BARBAKC583_1228	ABM45659.1,ctpA,eno,ABM45325.1,ABM44558.1,recJ,ABM45265.1,murC,ABM45482.1,flaA,ABM45322.1,flgK,pstS	Extracellular region
COMPARTMENTS	GOCC:0005615	2	0.002	360095	360095.BARBAKC583_0936,360095.BARBAKC583_1009	ABM45265.1,ABM45482.1	Extracellular space
COMPARTMENTS	GOCC:0005618	9	0.008	360095	360095.BARBAKC583_0090,360095.BARBAKC583_0121,360095.BARBAKC583_0462,360095.BARBAKC583_0803,360095.BARBAKC583_0959,360095.BARBAKC583_0979,360095.BARBAKC583_1001,360095.BARBAKC583_1103,360095.BARBAKC583_1221	sdhA,mtgA,ABM45438.1,ABM44486.1,ABM45172.1,aatA,ABM44822.1,metN,mutM	Cell wall
COMPARTMENTS	GOCC:0005622	576	0.504	360095	360095.BARBAKC583_0002,360095.BARBAKC583_0004,360095.BARBAKC583_0005,360095.BARBAKC583_0006,360095.BARBAKC583_0007,360095.BARBAKC583_0008,360095.BARBAKC583_0009,360095.BARBAKC583_0010,360095.BARBAKC583_0011,360095.BARBAKC583_0012,360095.BARBAKC583_0014,360095.BARBAKC583_0018,360095.BARBAKC583_0019,360095.BARBAKC583_0021,360095.BARBAKC583_0022,360095.BARBAKC583_0023,360095.BARBAKC583_0024,360095.BARBAKC583_0025,360095.BARBAKC583_0026,360095.BARBAKC583_0028,360095.BARBAKC583_0029,360095.BARBAKC583_0033,360095.BARBAKC583_0037,360095.BARBAKC583_0038,360095.BARBAKC583_0039,360095.BARBAKC583_0040,360095.BARBAKC583_0043,360095.BARBAKC583_0050,360095.BARBAKC583_0056,360095.BARBAKC583_0060,360095.BARBAKC583_0063,360095.BARBAKC583_0065,360095.BARBAKC583_0067,360095.BARBAKC583_0068,360095.BARBAKC583_0069,360095.BARBAKC583_0072,360095.BARBAKC583_0074,360095.BARBAKC583_0076,360095.BARBAKC583_0077,360095.BARBAKC583_0080,360095.BARBAKC583_0082,360095.BARBAKC583_0083,360095.BARBAKC583_0085,360095.BARBAKC583_0086,360095.BARBAKC583_0087,360095.BARBAKC583_0088,360095.BARBAKC583_0090,360095.BARBAKC583_0091,360095.BARBAKC583_0095,360095.BARBAKC583_0100,360095.BARBAKC583_0101,360095.BARBAKC583_0102,360095.BARBAKC583_0104,360095.BARBAKC583_0106,360095.BARBAKC583_0108,360095.BARBAKC583_0111,360095.BARBAKC583_0112,360095.BARBAKC583_0113,360095.BARBAKC583_0114,360095.BARBAKC583_0115,360095.BARBAKC583_0119,360095.BARBAKC583_0120,360095.BARBAKC583_0122,360095.BARBAKC583_0125,360095.BARBAKC583_0126,360095.BARBAKC583_0128,360095.BARBAKC583_0131,360095.BARBAKC583_0137,360095.BARBAKC583_0138,360095.BARBAKC583_0140,360095.BARBAKC583_0141,360095.BARBAKC583_0149,360095.BARBAKC583_0150,360095.BARBAKC583_0151,360095.BARBAKC583_0158,360095.BARBAKC583_0159,360095.BARBAKC583_0161,360095.BARBAKC583_0163,360095.BARBAKC583_0167,360095.BARBAKC583_0171,360095.BARBAKC583_0178,360095.BARBAKC583_0180,360095.BARBAKC583_0187,360095.BARBAKC583_0188,360095.BARBAKC583_0201,360095.BARBAKC583_0203,360095.BARBAKC583_0204,360095.BARBAKC583_0205,360095.BARBAKC583_0208,360095.BARBAKC583_0209,360095.BARBAKC583_0211,360095.BARBAKC583_0212,360095.BARBAKC583_0216,360095.BARBAKC583_0250,360095.BARBAKC583_0271,360095.BARBAKC583_0285,360095.BARBAKC583_0287,360095.BARBAKC583_0288,360095.BARBAKC583_0295,360095.BARBAKC583_0296,360095.BARBAKC583_0297,360095.BARBAKC583_0301,360095.BARBAKC583_0302,360095.BARBAKC583_0307,360095.BARBAKC583_0309,360095.BARBAKC583_0310,360095.BARBAKC583_0316,360095.BARBAKC583_0317,360095.BARBAKC583_0318,360095.BARBAKC583_0319,360095.BARBAKC583_0320,360095.BARBAKC583_0321,360095.BARBAKC583_0325,360095.BARBAKC583_0331,360095.BARBAKC583_0332,360095.BARBAKC583_0337,360095.BARBAKC583_0341,360095.BARBAKC583_0342,360095.BARBAKC583_0343,360095.BARBAKC583_0344,360095.BARBAKC583_0354,360095.BARBAKC583_0356,360095.BARBAKC583_0357,360095.BARBAKC583_0358,360095.BARBAKC583_0359,360095.BARBAKC583_0363,360095.BARBAKC583_0364,360095.BARBAKC583_0366,360095.BARBAKC583_0368,360095.BARBAKC583_0369,360095.BARBAKC583_0370,360095.BARBAKC583_0374,360095.BARBAKC583_0375,360095.BARBAKC583_0376,360095.BARBAKC583_0377,360095.BARBAKC583_0378,360095.BARBAKC583_0379,360095.BARBAKC583_0380,360095.BARBAKC583_0381,360095.BARBAKC583_0382,360095.BARBAKC583_0383,360095.BARBAKC583_0387,360095.BARBAKC583_0388,360095.BARBAKC583_0389,360095.BARBAKC583_0390,360095.BARBAKC583_0392,360095.BARBAKC583_0393,360095.BARBAKC583_0394,360095.BARBAKC583_0395,360095.BARBAKC583_0396,360095.BARBAKC583_0397,360095.BARBAKC583_0399,360095.BARBAKC583_0400,360095.BARBAKC583_0402,360095.BARBAKC583_0403,360095.BARBAKC583_0406,360095.BARBAKC583_0409,360095.BARBAKC583_0410,360095.BARBAKC583_0411,360095.BARBAKC583_0412,360095.BARBAKC583_0413,360095.BARBAKC583_0414,360095.BARBAKC583_0418,360095.BARBAKC583_0420,360095.BARBAKC583_0421,360095.BARBAKC583_0423,360095.BARBAKC583_0424,360095.BARBAKC583_0438,360095.BARBAKC583_0441,360095.BARBAKC583_0443,360095.BARBAKC583_0445,360095.BARBAKC583_0446,360095.BARBAKC583_0464,360095.BARBAKC583_0465,360095.BARBAKC583_0467,360095.BARBAKC583_0468,360095.BARBAKC583_0469,360095.BARBAKC583_0470,360095.BARBAKC583_0473,360095.BARBAKC583_0475,360095.BARBAKC583_0476,360095.BARBAKC583_0477,360095.BARBAKC583_0479,360095.BARBAKC583_0480,360095.BARBAKC583_0481,360095.BARBAKC583_0482,360095.BARBAKC583_0485,360095.BARBAKC583_0486,360095.BARBAKC583_0490,360095.BARBAKC583_0491,360095.BARBAKC583_0493,360095.BARBAKC583_0494,360095.BARBAKC583_0496,360095.BARBAKC583_0497,360095.BARBAKC583_0498,360095.BARBAKC583_0499,360095.BARBAKC583_0502,360095.BARBAKC583_0503,360095.BARBAKC583_0509,360095.BARBAKC583_0514,360095.BARBAKC583_0515,360095.BARBAKC583_0516,360095.BARBAKC583_0517,360095.BARBAKC583_0519,360095.BARBAKC583_0520,360095.BARBAKC583_0526,360095.BARBAKC583_0528,360095.BARBAKC583_0530,360095.BARBAKC583_0532,360095.BARBAKC583_0534,360095.BARBAKC583_0535,360095.BARBAKC583_0536,360095.BARBAKC583_0538,360095.BARBAKC583_0540,360095.BARBAKC583_0543,360095.BARBAKC583_0546,360095.BARBAKC583_0547,360095.BARBAKC583_0548,360095.BARBAKC583_0550,360095.BARBAKC583_0553,360095.BARBAKC583_0554,360095.BARBAKC583_0555,360095.BARBAKC583_0558,360095.BARBAKC583_0563,360095.BARBAKC583_0566,360095.BARBAKC583_0567,360095.BARBAKC583_0568,360095.BARBAKC583_0569,360095.BARBAKC583_0570,360095.BARBAKC583_0571,360095.BARBAKC583_0572,360095.BARBAKC583_0579,360095.BARBAKC583_0580,360095.BARBAKC583_0583,360095.BARBAKC583_0584,360095.BARBAKC583_0585,360095.BARBAKC583_0586,360095.BARBAKC583_0590,360095.BARBAKC583_0591,360095.BARBAKC583_0592,360095.BARBAKC583_0594,360095.BARBAKC583_0599,360095.BARBAKC583_0600,360095.BARBAKC583_0602,360095.BARBAKC583_0603,360095.BARBAKC583_0604,360095.BARBAKC583_0605,360095.BARBAKC583_0606,360095.BARBAKC583_0607,360095.BARBAKC583_0608,360095.BARBAKC583_0609,360095.BARBAKC583_0612,360095.BARBAKC583_0614,360095.BARBAKC583_0616,360095.BARBAKC583_0618,360095.BARBAKC583_0619,360095.BARBAKC583_0620,360095.BARBAKC583_0621,360095.BARBAKC583_0622,360095.BARBAKC583_0624,360095.BARBAKC583_0625,360095.BARBAKC583_0627,360095.BARBAKC583_0628,360095.BARBAKC583_0629,360095.BARBAKC583_0632,360095.BARBAKC583_0636,360095.BARBAKC583_0637,360095.BARBAKC583_0638,360095.BARBAKC583_0639,360095.BARBAKC583_0640,360095.BARBAKC583_0641,360095.BARBAKC583_0643,360095.BARBAKC583_0644,360095.BARBAKC583_0654,360095.BARBAKC583_0660,360095.BARBAKC583_0661,360095.BARBAKC583_0662,360095.BARBAKC583_0663,360095.BARBAKC583_0664,360095.BARBAKC583_0665,360095.BARBAKC583_0666,360095.BARBAKC583_0667,360095.BARBAKC583_0668,360095.BARBAKC583_0669,360095.BARBAKC583_0670,360095.BARBAKC583_0671,360095.BARBAKC583_0672,360095.BARBAKC583_0673,360095.BARBAKC583_0674,360095.BARBAKC583_0675,360095.BARBAKC583_0676,360095.BARBAKC583_0677,360095.BARBAKC583_0687,360095.BARBAKC583_0692,360095.BARBAKC583_0693,360095.BARBAKC583_0694,360095.BARBAKC583_0695,360095.BARBAKC583_0696,360095.BARBAKC583_0697,360095.BARBAKC583_0698,360095.BARBAKC583_0699,360095.BARBAKC583_0700,360095.BARBAKC583_0701,360095.BARBAKC583_0702,360095.BARBAKC583_0703,360095.BARBAKC583_0704,360095.BARBAKC583_0705,360095.BARBAKC583_0706,360095.BARBAKC583_0707,360095.BARBAKC583_0708,360095.BARBAKC583_0709,360095.BARBAKC583_0710,360095.BARBAKC583_0711,360095.BARBAKC583_0712,360095.BARBAKC583_0713,360095.BARBAKC583_0714,360095.BARBAKC583_0715,360095.BARBAKC583_0716,360095.BARBAKC583_0717,360095.BARBAKC583_0719,360095.BARBAKC583_0720,360095.BARBAKC583_0721,360095.BARBAKC583_0722,360095.BARBAKC583_0723,360095.BARBAKC583_0726,360095.BARBAKC583_0727,360095.BARBAKC583_0728,360095.BARBAKC583_0730,360095.BARBAKC583_0731,360095.BARBAKC583_0733,360095.BARBAKC583_0735,360095.BARBAKC583_0737,360095.BARBAKC583_0741,360095.BARBAKC583_0743,360095.BARBAKC583_0746,360095.BARBAKC583_0747,360095.BARBAKC583_0749,360095.BARBAKC583_0750,360095.BARBAKC583_0751,360095.BARBAKC583_0753,360095.BARBAKC583_0754,360095.BARBAKC583_0755,360095.BARBAKC583_0756,360095.BARBAKC583_0757,360095.BARBAKC583_0761,360095.BARBAKC583_0762,360095.BARBAKC583_0764,360095.BARBAKC583_0765,360095.BARBAKC583_0767,360095.BARBAKC583_0781,360095.BARBAKC583_0787,360095.BARBAKC583_0789,360095.BARBAKC583_0793,360095.BARBAKC583_0794,360095.BARBAKC583_0797,360095.BARBAKC583_0798,360095.BARBAKC583_0804,360095.BARBAKC583_0805,360095.BARBAKC583_0806,360095.BARBAKC583_0809,360095.BARBAKC583_0810,360095.BARBAKC583_0811,360095.BARBAKC583_0812,360095.BARBAKC583_0813,360095.BARBAKC583_0814,360095.BARBAKC583_0818,360095.BARBAKC583_0819,360095.BARBAKC583_0820,360095.BARBAKC583_0821,360095.BARBAKC583_0822,360095.BARBAKC583_0825,360095.BARBAKC583_0826,360095.BARBAKC583_0828,360095.BARBAKC583_0829,360095.BARBAKC583_0830,360095.BARBAKC583_0834,360095.BARBAKC583_0835,360095.BARBAKC583_0837,360095.BARBAKC583_0838,360095.BARBAKC583_0839,360095.BARBAKC583_0840,360095.BARBAKC583_0842,360095.BARBAKC583_0843,360095.BARBAKC583_0847,360095.BARBAKC583_0850,360095.BARBAKC583_0852,360095.BARBAKC583_0853,360095.BARBAKC583_0856,360095.BARBAKC583_0857,360095.BARBAKC583_0859,360095.BARBAKC583_0860,360095.BARBAKC583_0861,360095.BARBAKC583_0863,360095.BARBAKC583_0864,360095.BARBAKC583_0865,360095.BARBAKC583_0868,360095.BARBAKC583_0869,360095.BARBAKC583_0872,360095.BARBAKC583_0874,360095.BARBAKC583_0896,360095.BARBAKC583_0897,360095.BARBAKC583_0899,360095.BARBAKC583_0901,360095.BARBAKC583_0902,360095.BARBAKC583_0910,360095.BARBAKC583_0917,360095.BARBAKC583_0918,360095.BARBAKC583_0919,360095.BARBAKC583_0925,360095.BARBAKC583_0926,360095.BARBAKC583_0932,360095.BARBAKC583_0935,360095.BARBAKC583_0937,360095.BARBAKC583_0938,360095.BARBAKC583_0940,360095.BARBAKC583_0944,360095.BARBAKC583_0945,360095.BARBAKC583_0949,360095.BARBAKC583_0951,360095.BARBAKC583_0952,360095.BARBAKC583_0955,360095.BARBAKC583_0960,360095.BARBAKC583_0966,360095.BARBAKC583_0967,360095.BARBAKC583_0971,360095.BARBAKC583_0972,360095.BARBAKC583_0975,360095.BARBAKC583_0977,360095.BARBAKC583_0980,360095.BARBAKC583_0981,360095.BARBAKC583_0983,360095.BARBAKC583_0984,360095.BARBAKC583_0986,360095.BARBAKC583_0988,360095.BARBAKC583_0990,360095.BARBAKC583_0993,360095.BARBAKC583_0995,360095.BARBAKC583_0996,360095.BARBAKC583_0999,360095.BARBAKC583_1000,360095.BARBAKC583_1002,360095.BARBAKC583_1003,360095.BARBAKC583_1006,360095.BARBAKC583_1007,360095.BARBAKC583_1011,360095.BARBAKC583_1013,360095.BARBAKC583_1015,360095.BARBAKC583_1016,360095.BARBAKC583_1023,360095.BARBAKC583_1034,360095.BARBAKC583_1037,360095.BARBAKC583_1038,360095.BARBAKC583_1039,360095.BARBAKC583_1041,360095.BARBAKC583_1044,360095.BARBAKC583_1045,360095.BARBAKC583_1046,360095.BARBAKC583_1047,360095.BARBAKC583_1049,360095.BARBAKC583_1050,360095.BARBAKC583_1051,360095.BARBAKC583_1052,360095.BARBAKC583_1070,360095.BARBAKC583_1090,360095.BARBAKC583_1092,360095.BARBAKC583_1094,360095.BARBAKC583_1095,360095.BARBAKC583_1096,360095.BARBAKC583_1097,360095.BARBAKC583_1098,360095.BARBAKC583_1100,360095.BARBAKC583_1101,360095.BARBAKC583_1105,360095.BARBAKC583_1157,360095.BARBAKC583_1163,360095.BARBAKC583_1165,360095.BARBAKC583_1167,360095.BARBAKC583_1170,360095.BARBAKC583_1172,360095.BARBAKC583_1173,360095.BARBAKC583_1174,360095.BARBAKC583_1175,360095.BARBAKC583_1178,360095.BARBAKC583_1191,360095.BARBAKC583_1200,360095.BARBAKC583_1201,360095.BARBAKC583_1206,360095.BARBAKC583_1208,360095.BARBAKC583_1210,360095.BARBAKC583_1211,360095.BARBAKC583_1212,360095.BARBAKC583_1219,360095.BARBAKC583_1220,360095.BARBAKC583_1224,360095.BARBAKC583_1229,360095.BARBAKC583_1231,360095.BARBAKC583_1236,360095.BARBAKC583_1238,360095.BARBAKC583_1239,360095.BARBAKC583_1240,360095.BARBAKC583_1241,360095.BARBAKC583_1242,360095.BARBAKC583_1243,360095.BARBAKC583_1244,360095.BARBAKC583_1245,360095.BARBAKC583_1246,360095.BARBAKC583_1249,360095.BARBAKC583_1250,360095.BARBAKC583_1251,360095.BARBAKC583_1252,360095.BARBAKC583_1254,360095.BARBAKC583_1255,360095.BARBAKC583_1256,360095.BARBAKC583_1257,360095.BARBAKC583_1258,360095.BARBAKC583_1259,360095.BARBAKC583_1260,360095.BARBAKC583_1261,360095.BARBAKC583_1262,360095.BARBAKC583_1264,360095.BARBAKC583_1268,360095.BARBAKC583_1269,360095.BARBAKC583_1270,360095.BARBAKC583_1276,360095.BARBAKC583_1277,360095.BARBAKC583_1278,360095.BARBAKC583_1279,360095.BARBAKC583_1281,360095.BARBAKC583_1282,360095.BARBAKC583_1284,360095.BARBAKC583_1290,360095.BARBAKC583_1291,360095.BARBAKC583_1292,360095.BARBAKC583_1296,360095.BARBAKC583_1299,360095.BARBAKC583_1303,360095.BARBAKC583_1304,360095.BARBAKC583_1305,360095.BARBAKC583_1306,360095.BARBAKC583_1307,360095.BARBAKC583_1312,360095.BARBAKC583_1313,360095.BARBAKC583_1314,360095.BARBAKC583_1315,360095.BARBAKC583_1316,360095.BARBAKC583_1319,360095.BARBAKC583_1320,360095.BARBAKC583_1321,360095.BARBAKC583_1322,360095.BARBAKC583_1323,360095.BARBAKC583_1326,360095.BARBAKC583_1327,360095.BARBAKC583_1328,360095.BARBAKC583_1334,360095.BARBAKC583_1336,360095.BARBAKC583_1337,360095.BARBAKC583_1338,360095.BARBAKC583_1340,360095.BARBAKC583_1341,360095.BARBAKC583_1345,360095.BARBAKC583_1346,360095.BARBAKC583_1349,360095.BARBAKC583_1351,360095.BARBAKC583_1352,360095.BARBAKC583_1353,360095.BARBAKC583_1355,360095.BARBAKC583_1357,360095.BARBAKC583_1358,360095.BARBAKC583_1359,360095.BARBAKC583_1360,360095.BARBAKC583_1361,360095.BARBAKC583_1362,360095.BARBAKC583_1365,360095.BARBAKC583_1371,360095.BARBAKC583_1373,360095.BARBAKC583_1374	polA,dnaQ,coaE,aroE,maf1,ABM44519.1,rho,trmE,gidA,gidB,parB,ABM44615.1,dapF,ABM44762.1,mdh,sucC,sucD,sucA,sucB,lys1,nspC,phaE,aroB,aroK,xerD,accA,ABM45188.1,holA,lysA,ABM44683.1,ABM44518.1,ABM44559.1,ABM44704.1,ffh,rpsP,ABM45685.1,purH,ABM44656.1,rpmB,cobS,ABM45557.1,xerC,rimM,trmD,rplS,sdhC,sdhA,sdhB,xth1,ftsE,acsA,ABM45124.1,leuS,tal,priA,atpH,atpA,atpG,atpD,atpC,ispG,ABM44695.1,rpmF,ABM44878.1,rpoH1,thiN,ABM44971.1,tkt,gap,pgk,fbaB,ruvB,ruvA,ruvC,efp,ABM45241.1,rpmE,ABM45620.1,tilS,glmM,dut,ABM45388.1,ABM45163.1,ABM45379.1,murA,ABM44806.1,ABM45495.1,rpmJ,purK,purE,infA,maf2,clpB,ABM44661.1,ABM44429.1,purA,rpoH2,ABM44483.1,ABM45060.1,ABM44587.1,folD,ABM44978.1,rpsU,pgi,rplU,rpmA,rrmJ,obg,proB,proA,nadD,rsfS,nudH,mgtE,ABM45399.1,ABM45554.1,guaB,ABM45526.1,ABM44980.1,guaA,nrdH,nrdE,prmC,nrdF,prfA,argJ,mutT,ABM45334.1,grxC,ubiG,ABM45119.1,engA,ABM45095.1,atpB,atpE,atpF2,atpF1,glyS,glyQ,ABM45181.1,ABM45444.1,ispE,rnhB,ABM45094.1,ABM44654.1,purD,ubiA,pdxH,ABM45471.1,ABM44970.1,aroC,xseB,dxs,ABM45009.1,ABM45575.1,ispH,rnhA,ABM45083.1,ABM44549.1,ABM44734.1,ccrMIM,mutY,ppdK,sodB,ABM45234.1,ABM45138.1,sufE,ABM44919.1,thiD,thiG,ABM44665.1,thiC,dapA,smpB,rpoZ,relA,pyrE,ABM44830.1,rnc,recO,panC,panB,ABM45527.1,ABM44813.1,cysS,ABM44972.1,ABM45221.1,cvpA1,dnaB,rplI,rpsR,rpsF,fabD,fabG,acpP,fabF,gmk,ksgA,holC,ndk,pgsA,uvrC,rlmJ,serS,ABM45392.1,ABM45597.1,tpiA,pyrG,eno,pdhA,pdhB,pdhC,lipA,ispDF,ntrX,clpP,clpX,lon,hupB,tig,gatB,ABM45605.1,ABM45187.1,tuf1,nusG,rplK,rplA,rplJ,rplL,rpoB,rpoC,ABM45427.1,clpA,rpsB,tsf,pyrH,frr,lpxD,fabZ,lpxA,lpxB,gltA,gltX1,rpiA,ABM44599.1,gor,ABM45115.1,nadE,gltX2,ABM45423.1,nadK,ABM44957.1,ABM44842.1,ABM44597.1,ABM44438.1,ABM45157.1,ABM44721.1,ABM45478.1,dme,hfq,hflX,ctaA,argC,glyA,ribE,ABM45437.1,plsX,fabH,ihfA,ABM45371.1,thrS,ABM45407.1,folE,valS1,xth2,rpsL1,rpsG1,fusA1,tuf2,rpsJ1,rplC1,rplD1,rplW1,rplB1,rpsS1,rplV1,rpsC1,rplP1,rpmC1,rpsQ1,rplN1,rplX1,valS2,xth3,rpsL2,rpsG2,fusA2,tuf3,rpsJ2,rplC2,rplD2,rplW2,rplB2,rpsS2,rplV2,rpsC2,rplP2,rpmC2,rpsQ2,rplN2,rplX2,rplE2,rpsN,rpsH,rplF,rplR,rpsE,rpmD,rplO,adk,rpsM,rpsK,rpoA,rplQ,ABM45663.1,recA,alaS,ABM45254.1,ABM45039.1,glnA,uvrA,gyrA,tgt,ABM45178.1,glpX,ilvE,argS,ABM45465.1,ABM44585.1,ABM44696.1,glmU,glmS,recG,ABM44986.1,accC,accB,purN,purM,ABM44988.1,nuoD,nuoJ,nuoL,ABM44416.1,proS,ABM45411.1,mfd,prfB,ABM44436.1,tyrS,ABM44764.1,sufB,sufC,sufD,sufS,ABM44464.1,ABM45368.1,ABM44648.1,metG,holB,tmk,ttcA,rpsD,trmJ,map,ABM45639.1,ABM44532.1,gatA,ABM45218.1,ABM45498.1,pyrB,ABM45630.1,dprA,topA,rpmG,grp,dusA,ABM45695.1,rpe,purB,purC,purS,purQ,purL,ABM44623.1,ABM45512.1,aspS,rnd,dnaE,ABM44539.1,ABM45671.1,ABM45064.1,parE,rplM,rpsI,ABM45555.1,ilvC,pdxJ,ABM45073.1,folA,thyA,ABM44743.1,prmA,ligA,recN,lpxC,ddlB,murB,murD,murF,murE,mraW,ABM44439.1,rpoD,dnaG,ubiC,carA,carB,ABM44843.1,ABM44993.1,trxB,lpcC,greA,uvrB,ABM45560.1,ABM45173.1,ABM44642.1,ABM45439.1,ABM44894.1,rplY,pth,engD,ABM44718.1,trnT,ABM45089.1,ABM45690.1,czrB,ABM44540.1,trmU,ABM44928.1,xseA,etfB,etfA,ABM45389.1,ABM44663.1,pyrF,ABM45694.1,rpmH,rnpA,engB,ABM45130.1,dapB,gpmA,ABM44990.1,ABM45330.1,fpr,gcvP,gcvH,gcvT,ABM44935.1,ABM45674.1,ABM44552.1,asd,nodN,ABM45508.1,ribF,ABM45143.1,trpS,ABM44706.1,groL,groS,fumC,ABM45456.1,hisS,gpsA,dcd,mutL,ABM45216.1,ABM44667.1,ABM44523.1,tadA,ileS,ABM45110.1,ABM44494.1,phoU,gshB,ABM45259.1,kdsB,dnaX,ABM45670.1,recR,ABM45248.1,ABM45260.1,miaB,ABM45079.1,ybeY,corC,metK,trmB,rimP,nusA,infB,rbfA,truB,rpsO,pnp,ABM45295.1,hslU,hslV,ABM44910.1,ABM45601.1,fabA,ABM45155.1,ABM44560.1,aroQ,recF,dnaN,dnaA,rpsT,acnA,ccmA,argD,argF,hslO,secB,mutS,aroA,cmk,rpsA,ABM44644.1,pncB,pheT,pheS,rplT,rpmI,nth,def,fmt,truA,ABM45404.1,dapD,argB,dnaJ,dnaK,grpE,rdgB,ABM45029.1,dapE,ABM45053.1,infC,ABM45475.1,gyrB,coaBC,accD,folC,ABM44961.1,ABM45466.1,addA,trx,prfC,lysS,argG,rlmN,ptsN,ihfB,ABM44474.1,ABM45358.1	Intracellular
COMPARTMENTS	GOCC:0005634	11	0.01	360095	360095.BARBAKC583_0004,360095.BARBAKC583_0082,360095.BARBAKC583_0566,360095.BARBAKC583_0731,360095.BARBAKC583_0809,360095.BARBAKC583_0838,360095.BARBAKC583_0864,360095.BARBAKC583_1002,360095.BARBAKC583_1006,360095.BARBAKC583_1211,360095.BARBAKC583_1252	dnaQ,ABM45557.1,nusG,ABM45039.1,ABM44764.1,ABM45498.1,ABM44623.1,engD,trnT,tadA,nusA	Nucleus
