stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
360095.BARBAKC583_0001	360095.BARBAKC583_0003	ABM45158.1	ABM44974.1	360095	0.504	0.504	0	0	0	0	0	0
360095.BARBAKC583_0002	360095.BARBAKC583_0984	polA	greA	360095	0.405	0	0	0	0	0	0	0.405
360095.BARBAKC583_0002	360095.BARBAKC583_0501	polA	mltG	360095	0.405	0.088	0	0	0	0	0	0.375
360095.BARBAKC583_0002	360095.BARBAKC583_0289	polA	ABM45425.1	360095	0.407	0.088	0	0	0.054	0	0	0.368
360095.BARBAKC583_0002	360095.BARBAKC583_1209	polA	ABM45081.1	360095	0.416	0.076	0	0	0	0	0	0.394
360095.BARBAKC583_0002	360095.BARBAKC583_1041	polA	ABM44663.1	360095	0.42	0	0	0	0	0	0	0.42
360095.BARBAKC583_0002	360095.BARBAKC583_0819	polA	ABM44648.1	360095	0.421	0.232	0	0.241	0	0	0	0.088
360095.BARBAKC583_0002	360095.BARBAKC583_0436	polA	ABM45452.1	360095	0.424	0.096	0	0	0	0.113	0	0.34
360095.BARBAKC583_0002	360095.BARBAKC583_1333	polA	bvrS	360095	0.424	0.096	0	0	0	0.113	0	0.34
360095.BARBAKC583_0002	360095.BARBAKC583_0429	polA	feuQ	360095	0.424	0.096	0	0	0	0.113	0	0.34
360095.BARBAKC583_0002	360095.BARBAKC583_0990	polA	ABM45173.1	360095	0.424	0.096	0	0	0	0.113	0	0.34
360095.BARBAKC583_0002	360095.BARBAKC583_0359	polA	prfA	360095	0.428	0	0	0	0.046	0	0	0.426
360095.BARBAKC583_0002	360095.BARBAKC583_0039	polA	xerD	360095	0.432	0.075	0	0	0.057	0	0	0.402
360095.BARBAKC583_0002	360095.BARBAKC583_0083	polA	xerC	360095	0.432	0.075	0	0	0.057	0	0	0.402
360095.BARBAKC583_0002	360095.BARBAKC583_0910	polA	ABM45555.1	360095	0.432	0.075	0	0	0.057	0	0	0.402
360095.BARBAKC583_0002	360095.BARBAKC583_1045	polA	ABM45694.1	360095	0.432	0.203	0	0	0	0.317	0	0
360095.BARBAKC583_0002	360095.BARBAKC583_0804	polA	prfB	360095	0.433	0.232	0	0	0	0.293	0	0
360095.BARBAKC583_0002	360095.BARBAKC583_0805	polA	ABM44436.1	360095	0.433	0	0	0	0	0	0	0.433
360095.BARBAKC583_0002	360095.BARBAKC583_0007	polA	maf1	360095	0.435	0.435	0	0	0	0	0	0
360095.BARBAKC583_0002	360095.BARBAKC583_0953	polA	ABM45285.1	360095	0.435	0.044	0	0	0	0	0	0.434
360095.BARBAKC583_0002	360095.BARBAKC583_0669	polA	rplB1	360095	0.436	0	0	0	0	0	0	0.436
360095.BARBAKC583_0002	360095.BARBAKC583_0701	polA	rplB2	360095	0.436	0	0	0	0	0	0	0.436
360095.BARBAKC583_0002	360095.BARBAKC583_1349	polA	coaBC	360095	0.438	0.232	0	0.158	0	0.201	0	0
360095.BARBAKC583_0002	360095.BARBAKC583_0839	polA	pyrB	360095	0.442	0	0	0	0	0	0	0.442
360095.BARBAKC583_0002	360095.BARBAKC583_0980	polA	ABM44993.1	360095	0.444	0	0	0	0	0	0	0.444
360095.BARBAKC583_0002	360095.BARBAKC583_0535	polA	pdhB	360095	0.444	0.088	0	0	0	0	0	0.416
360095.BARBAKC583_0002	360095.BARBAKC583_1173	polA	groS	360095	0.445	0.086	0	0	0	0	0	0.418
360095.BARBAKC583_0002	360095.BARBAKC583_0137	polA	tkt	360095	0.446	0.185	0	0	0.047	0	0	0.345
360095.BARBAKC583_0002	360095.BARBAKC583_0008	polA	ABM44519.1	360095	0.448	0.406	0	0	0.108	0	0	0
360095.BARBAKC583_0002	360095.BARBAKC583_0400	polA	dxs	360095	0.45	0	0	0	0.06	0	0	0.439
360095.BARBAKC583_0002	360095.BARBAKC583_1323	polA	dapD	360095	0.45	0	0	0	0.102	0	0	0.413
360095.BARBAKC583_0002	360095.BARBAKC583_0665	polA	rpsJ1	360095	0.453	0	0	0	0.054	0	0	0.446
360095.BARBAKC583_0002	360095.BARBAKC583_0697	polA	rpsJ2	360095	0.453	0	0	0	0.054	0	0	0.446
360095.BARBAKC583_0002	360095.BARBAKC583_0716	polA	rpmD	360095	0.454	0	0	0	0.049	0	0	0.45
360095.BARBAKC583_0002	360095.BARBAKC583_1304	polA	cmk	360095	0.454	0	0	0	0	0	0	0.454
360095.BARBAKC583_0002	360095.BARBAKC583_1313	polA	pheS	360095	0.455	0.056	0	0	0.063	0	0	0.434
360095.BARBAKC583_0002	360095.BARBAKC583_0051	polA	ABM44417.1	360095	0.455	0.048	0	0	0	0	0	0.451
360095.BARBAKC583_0002	360095.BARBAKC583_0439	polA	pepN	360095	0.459	0	0	0	0	0	0	0.46
360095.BARBAKC583_0002	360095.BARBAKC583_0483	polA	psd	360095	0.46	0.075	0	0	0	0	0	0.441
360095.BARBAKC583_0002	360095.BARBAKC583_0097	polA	macB	360095	0.461	0.08	0	0	0.045	0	0	0.436
360095.BARBAKC583_0002	360095.BARBAKC583_0319	polA	proA	360095	0.461	0.083	0	0	0	0	0	0.437
360095.BARBAKC583_0002	360095.BARBAKC583_0211	polA	infA	360095	0.465	0	0	0	0	0	0	0.465
360095.BARBAKC583_0002	360095.BARBAKC583_0813	polA	sufS	360095	0.466	0.044	0	0	0.094	0	0	0.433
360095.BARBAKC583_0002	360095.BARBAKC583_0108	polA	priA	360095	0.469	0.045	0	0.451	0.06	0	0	0.051
360095.BARBAKC583_0002	360095.BARBAKC583_0443	polA	thiG	360095	0.47	0	0	0	0.06	0	0	0.46
360095.BARBAKC583_0002	360095.BARBAKC583_0158	polA	efp	360095	0.472	0	0	0	0.046	0	0	0.47
360095.BARBAKC583_0002	360095.BARBAKC583_0695	polA	fusA2	360095	0.475	0	0	0	0	0.062	0	0.464
360095.BARBAKC583_0002	360095.BARBAKC583_0663	polA	fusA1	360095	0.475	0	0	0	0	0.062	0	0.464
