"","baseMean","log2FoldChange","lfcSE","pvalue","padj","wp"
"lcl|NC_008783.1_cds_WP_005765660.1_1",48612.3625389815,1.09019362385823,0.252120180769619,3.9725997032314e-06,2.95821260919873e-05,"WP_005765660.1"
"lcl|NC_008783.1_cds_WP_005765663.1_2",770.027575552566,-0.359715779158027,0.34709767380257,0.172532809738909,0.282934690762976,"WP_005765663.1"
"lcl|NC_008783.1_cds_WP_005765665.1_3",1607.3398625991,-0.566853440629584,0.163720690050206,0.000335858548773523,0.00144530823591248,"WP_005765665.1"
"lcl|NC_008783.1_cds_WP_005765667.1_4",182.623814413753,-0.163358660228711,0.216676801235447,0.318571420955219,0.456092578489697,"WP_005765667.1"
"lcl|NC_008783.1_cds_WP_005765670.1_5",136.643738575877,-0.435077021720025,0.329588300265744,0.0903687783332424,0.171468964016921,"WP_005765670.1"
"lcl|NC_008783.1_cds_WP_005765671.1_6",152.796838576968,-0.463432752416465,0.31639201070555,0.0648171148525317,0.129415622235072,"WP_005765671.1"
"lcl|NC_008783.1_cds_WP_005765673.1_7",194.578458938015,-0.212489592897584,0.330772076722241,0.396836904217688,0.535142248967816,"WP_005765673.1"
"lcl|NC_008783.1_cds_WP_011807237.1_8",345.3817602843,-0.356012442913324,0.301221409382536,0.126872592210639,0.224539834345885,"WP_011807237.1"
"lcl|NC_008783.1_cds_WP_011807238.1_9",5076.10933426869,-0.170976139609979,0.278250437077488,0.423085281635999,0.559076979304713,"WP_011807238.1"
"lcl|NC_008783.1_cds_WP_005765686.1_10",1362.10489037,-0.643187323139552,0.330746822213355,0.0191692924820071,0.047074523944887,"WP_005765686.1"
"lcl|NC_008783.1_cds_WP_005765688.1_11",863.819730660319,-0.399964369998226,0.207503870869771,0.0229368916022736,0.0546424137969658,"WP_005765688.1"
"lcl|NC_008783.1_cds_WP_005765690.1_12",405.004348045157,-0.425057620390863,0.281676313074229,0.0597919979850969,0.120995959927892,"WP_005765690.1"
"lcl|NC_008783.1_cds_WP_005765692.1_13",1411.80214808402,0.545159170520123,0.14588719937432,0.000127152693766257,0.000619339121787084,"WP_005765692.1"
"lcl|NC_008783.1_cds_WP_005765693.1_14",947.081233930469,0.0719384408145713,0.121282783017671,0.398475689451215,0.536130927625271,"WP_005765693.1"
"lcl|NC_008783.1_cds_WP_005765696.1_15",383.176030658155,-0.41875575978906,0.256577593824246,0.0452716076076691,0.0969403147570547,"WP_005765696.1"
"lcl|NC_008783.1_cds_WP_005765698.1_16",1115.10237223667,0.211752341553896,0.300470025242134,0.355773229217003,0.493250003972987,"WP_005765698.1"
"lcl|NC_008783.1_cds_WP_005765700.1_17",1345.32647745362,0.0750082079714889,0.242398647331914,0.691573094546015,0.79113289269805,"WP_005765700.1"
"lcl|NC_008783.1_cds_WP_005765702.1_18",1590.40554063957,0.122401660587734,0.22222646095885,0.472297862666354,0.607336722072167,"WP_005765702.1"
"lcl|NC_008783.1_cds_WP_005765704.1_19",758.661340948145,0.540381298551049,0.214183474676564,0.00539593754548963,0.0161333082168175,"WP_005765704.1"
"lcl|NC_008783.1_cds_WP_005765706.1_20",1700.89125954757,-0.152147012771314,0.158607841209875,0.18541368300666,0.29586226506723,"WP_005765706.1"
"lcl|NC_008783.1_cds_WP_005765708.1_21",430.153508046785,-0.887872171496505,0.204309125802261,5.8153466811752e-06,4.12297632964756e-05,"WP_005765708.1"
"lcl|NC_008783.1_cds_WP_005765710.1_22",2468.59584327679,-0.224829888020883,0.193626368814296,0.124842413900521,0.222595825612226,"WP_005765710.1"
"lcl|NC_008783.1_cds_WP_005765712.1_23",4146.40731518368,-0.207269083526458,0.277913564972205,0.329107185805381,0.468344841338426,"WP_005765712.1"
"lcl|NC_008783.1_cds_WP_005765714.1_24",3522.98331979645,-0.0904624739310765,0.195200270299663,0.54460491344153,0.670282970389575,"WP_005765714.1"
"lcl|NC_008783.1_cds_WP_005765715.1_25",6980.29733797275,-0.0702653768278388,0.208577344483147,0.664228017697203,0.770270296722319,"WP_005765715.1"
"lcl|NC_008783.1_cds_WP_005765716.1_26",4160.01748175386,0.0285085760466775,0.28145450917755,0.896730715241472,0.935444199864232,"WP_005765716.1"
"lcl|NC_008783.1_cds_WP_005765717.1_27",2795.54793069793,-0.0845002206366545,0.251674821418442,0.666355261645186,0.771981046759198,"WP_005765717.1"
"lcl|NC_008783.1_cds_WP_005765729.1_28",2177.41775898003,-0.0818738510088345,0.214241229098354,0.621722953066264,0.740738616281926,"WP_005765729.1"
"lcl|NC_008783.1_cds_WP_005765731.1_29",663.412759157941,-0.187540221478991,0.267106937108434,0.358728126589627,0.493912856919255,"WP_005765731.1"
"lcl|NC_008783.1_cds_WP_005765733.1_30",1029.26015696678,-0.962303569568725,0.343605575475748,0.00135461352300053,0.00499645610975897,"WP_005765733.1"
"lcl|NC_008783.1_cds_WP_005765735.1_31",65.1158072226447,-0.947453689617894,0.464308577713994,0.00859021105500266,0.0239877591724603,"WP_005765735.1"
"lcl|NC_008783.1_cds_WP_011807240.1_32",352.760806327897,-1.25673011076684,0.457873177479437,0.000711371625756334,0.00285513221998474,"WP_011807240.1"
"lcl|NC_008783.1_cds_WP_005765739.1_33",93.0183746372837,-0.882491505860919,0.42057568626185,0.00892484178356499,0.0247622745525609,"WP_005765739.1"
"lcl|NC_008783.1_cds_WP_005765740.1_34",30.0333508750162,-0.621949293773363,0.5077440252449,0.0807416232529015,0.15494016520492,"WP_005765740.1"
"lcl|NC_008783.1_cds_WP_005765741.1_35",114.378319432977,-1.20780169076522,0.511235624508734,0.00207192143802433,0.00715205534291779,"WP_005765741.1"
"lcl|NC_008783.1_cds_WP_005765743.1_36",1550.04547439379,2.28877805107698,0.298780457187851,1.88009523880139e-16,1.06001560130517e-14,"WP_005765743.1"
"lcl|NC_008783.1_cds_WP_005765745.1_37",322.532714056704,0.436401900386636,0.293231342912657,0.0624069739590278,0.125025139031284,"WP_005765745.1"
"lcl|NC_008783.1_cds_WP_005765747.1_38",253.416845859175,-0.0805349995034248,0.172463243756228,0.536518610790222,0.662396282769158,"WP_005765747.1"
"lcl|NC_008783.1_cds_WP_005765749.1_39",2840.16844083255,0.509887304753411,0.415246524803646,0.100330786547703,0.187368535130096,"WP_005765749.1"
"lcl|NC_008783.1_cds_WP_005765751.1_40",1582.95241938391,0.0110811177898051,0.157086035224788,0.92720303941475,0.95268391843188,"WP_005765751.1"
"lcl|NC_008783.1_cds_WP_005765753.1_41",290.805308278583,-0.676616601635949,0.244571573127011,0.00250019042096429,0.00824575336607721,"WP_005765753.1"
"lcl|NC_008783.1_cds_WP_005765755.1_42",879.979387901756,0.0775233505421873,0.169837468764433,0.545495374256659,0.670681747788041,"WP_005765755.1"
"lcl|NC_008783.1_cds_WP_005765757.1_43",1706.28356109232,0.240760628127364,0.21746035800347,0.146045346019324,0.249737077582253,"WP_005765757.1"
