"","baseMean","log2FoldChange","lfcSE","pvalue","padj","wp"
"lcl|NC_008783.1_cds_WP_005765660.1_1",35957.3698302177,1.12824393792933,0.20128446384146,4.76070488930292e-09,6.4844083837057e-08,"WP_005765660.1"
"lcl|NC_008783.1_cds_WP_005765663.1_2",702.315298876949,-0.394968180160717,0.305078288654742,0.104534965802266,0.17849270097361,"WP_005765663.1"
"lcl|NC_008783.1_cds_WP_005765665.1_3",1688.39777261204,-0.575659059319938,0.131496939121281,8.02218170323026e-06,4.63721235040383e-05,"WP_005765665.1"
"lcl|NC_008783.1_cds_WP_005765667.1_4",290.56158226425,-0.181315736376026,0.196015521781937,0.241095813566831,0.350120758672421,"WP_005765667.1"
"lcl|NC_008783.1_cds_WP_005765670.1_5",220.264391803057,-0.498257710438353,0.262761929005805,0.0257414307692162,0.0556634953677394,"WP_005765670.1"
"lcl|NC_008783.1_cds_WP_005765671.1_6",230.694418289348,-0.508583287521058,0.265124737282196,0.0242877930536267,0.0530037472717267,"WP_005765671.1"
"lcl|NC_008783.1_cds_WP_005765673.1_7",263.928558471779,-0.239581003784903,0.284656949970264,0.284981224444031,0.39823437613936,"WP_005765673.1"
"lcl|NC_008783.1_cds_WP_011807237.1_8",324.093249254818,-0.384537470437964,0.267776156131037,0.0773224483325405,0.139250913790365,"WP_011807237.1"
"lcl|NC_008783.1_cds_WP_011807238.1_9",5115.38173386373,-0.18899388850536,0.233893579548652,0.30761629701017,0.422450285426467,"WP_011807238.1"
"lcl|NC_008783.1_cds_WP_005765686.1_10",1368.43089548827,-0.681216851577504,0.284127416733928,0.00643919050900242,0.0172244712261126,"WP_005765686.1"
"lcl|NC_008783.1_cds_WP_005765688.1_11",1282.14124307072,-0.42972755717787,0.147588579567736,0.00195374291190168,0.00609259302790392,"WP_005765688.1"
"lcl|NC_008783.1_cds_WP_005765690.1_12",460.404532490231,-0.452437847513981,0.246343942571478,0.0303223839455895,0.0640499553930901,"WP_005765690.1"
"lcl|NC_008783.1_cds_WP_005765692.1_13",1230.67199793172,0.550051539736554,0.124824978231038,7.2570596488325e-06,4.29980784193326e-05,"WP_005765692.1"
"lcl|NC_008783.1_cds_WP_005765693.1_14",1164.80680064311,0.0850006542620192,0.0930704683499844,0.238482186892056,0.347603187536391,"WP_005765693.1"
"lcl|NC_008783.1_cds_WP_005765696.1_15",300.025179910252,-0.441349948789919,0.219555345187394,0.0202843178615637,0.0462248397422172,"WP_005765696.1"
"lcl|NC_008783.1_cds_WP_005765698.1_16",679.124841767849,0.207623498298194,0.333560130869398,0.421692305578013,0.539056507130469,"WP_005765698.1"
"lcl|NC_008783.1_cds_WP_005765700.1_17",1316.38520517238,0.0799256302784918,0.211276960821972,0.638594901725012,0.734694134508873,"WP_005765700.1"
"lcl|NC_008783.1_cds_WP_005765702.1_18",1376.71913923722,0.132886958038462,0.187618407091111,0.370687390758883,0.487681687633442,"WP_005765702.1"
"lcl|NC_008783.1_cds_WP_005765704.1_19",684.85423324983,0.55331339221592,0.181467035282649,0.00123322466579555,0.00406426246259079,"WP_005765704.1"
"lcl|NC_008783.1_cds_WP_005765706.1_20",1521.20424151551,-0.174790773676629,0.124366666604792,0.0767343863865498,0.139249996735163,"WP_005765706.1"
"lcl|NC_008783.1_cds_WP_005765708.1_21",643.59321210499,-0.887253336014978,0.20332059028027,4.98863161403252e-06,3.04965143463611e-05,"WP_005765708.1"
