"","baseMean","log2FoldChange","lfcSE","pvalue","padj","wp"
"lcl|NC_008783.1_cds_WP_005765660.1_1",48612.3625389815,-0.192052850147224,0.235687022967467,0.368945015743741,0.526302287518783,"WP_005765660.1"
"lcl|NC_008783.1_cds_WP_005765663.1_2",770.027575552566,0.592928425362722,0.319969576159922,0.0247260487976866,0.0714633744311121,"WP_005765663.1"
"lcl|NC_008783.1_cds_WP_005765665.1_3",1607.3398625991,0.188558450441572,0.158560489288002,0.214759522186245,0.363770063331207,"WP_005765665.1"
"lcl|NC_008783.1_cds_WP_005765667.1_4",182.623814413753,0.958760774371529,0.223516273104552,2.53318036877978e-06,3.49294913127455e-05,"WP_005765667.1"
"lcl|NC_008783.1_cds_WP_005765670.1_5",136.643738575877,0.311806948292896,0.292896096955662,0.212508510828128,0.362028887511516,"WP_005765670.1"
"lcl|NC_008783.1_cds_WP_005765671.1_6",152.796838576968,0.702325805423313,0.285312104064354,0.00424255766453722,0.0183999570505936,"WP_005765671.1"
"lcl|NC_008783.1_cds_WP_005765673.1_7",194.578458938015,-0.108711163681593,0.321857767068124,0.680986349732392,0.796594432145624,"WP_005765673.1"
"lcl|NC_008783.1_cds_WP_011807237.1_8",345.3817602843,0.662108152234805,0.278010045211021,0.00607402597584151,0.0243784635776147,"WP_011807237.1"
"lcl|NC_008783.1_cds_WP_011807238.1_9",5076.10933426869,-0.499857139600058,0.283424955671206,0.0410693282429423,0.106170490479571,"WP_011807238.1"
"lcl|NC_008783.1_cds_WP_005765686.1_10",1362.10489037,0.0417410915169126,0.288806234609243,0.866246669972303,0.909251823800716,"WP_005765686.1"
"lcl|NC_008783.1_cds_WP_005765688.1_11",863.819730660319,0.706525538389067,0.188200312591762,6.40298350992347e-05,0.000567608172645126,"WP_005765688.1"
"lcl|NC_008783.1_cds_WP_005765690.1_12",405.004348045157,-0.0621627591903032,0.249716528318499,0.780969027644321,0.859356253467357,"WP_005765690.1"
"lcl|NC_008783.1_cds_WP_005765692.1_13",1411.80214808402,0.671153551931301,0.143639631279825,1.27608820309974e-06,1.96219276944168e-05,"WP_005765692.1"
"lcl|NC_008783.1_cds_WP_005765693.1_14",947.081233930469,0.203650607121193,0.134196094707672,0.117861233986095,0.235959056151444,"WP_005765693.1"
"lcl|NC_008783.1_cds_WP_005765696.1_15",383.176030658155,-0.858472975796496,0.233251421228151,4.78336449459718e-05,0.000449484409651036,"WP_005765696.1"
"lcl|NC_008783.1_cds_WP_005765698.1_16",1115.10237223667,-0.696806675003786,0.301189806674606,0.00619106353905757,0.0247642541562303,"WP_005765698.1"
"lcl|NC_008783.1_cds_WP_005765700.1_17",1345.32647745362,-0.345934041233885,0.26551759565565,0.139070753794104,0.264726322334757,"WP_005765700.1"
"lcl|NC_008783.1_cds_WP_005765702.1_18",1590.40554063957,0.0452824047998767,0.234646138205239,0.831675881365486,0.889538739218485,"WP_005765702.1"
"lcl|NC_008783.1_cds_WP_005765704.1_19",758.661340948145,0.938540044284112,0.2033249095221,6.30532004078532e-07,1.08195636641881e-05,"WP_005765704.1"
"lcl|NC_008783.1_cds_WP_005765706.1_20",1700.89125954757,-0.148255719559654,0.150702588684933,0.306818353916077,0.462179301573327,"WP_005765706.1"
"lcl|NC_008783.1_cds_WP_005765708.1_21",430.153508046785,0.251296730619361,0.196557969025721,0.171868183055609,0.30925825036146,"WP_005765708.1"
"lcl|NC_008783.1_cds_WP_005765710.1_22",2468.59584327679,-0.329109005146435,0.176800901485725,0.0495963428044281,0.121577784431559,"WP_005765710.1"
"lcl|NC_008783.1_cds_WP_005765712.1_23",4146.40731518368,0.0190023582997591,0.272115815257836,0.936372676759393,0.958224070253346,"WP_005765712.1"
"lcl|NC_008783.1_cds_WP_005765714.1_24",3522.98331979645,0.0288850948687366,0.214171946298996,0.88391465046623,0.917719443362475,"WP_005765714.1"
"lcl|NC_008783.1_cds_WP_005765715.1_25",6980.29733797275,-0.046016318005073,0.232735632418172,0.827895172121037,0.888211320127256,"WP_005765715.1"
