"run","condicion","lecturas_procesadas","asignadas_CDS","asignadas_senuelo","pct_CDS","pct_senuelo","pct_sin_asignar","matriz","en_modelo","motivo"
"SRR12653236","Pl25",3925147,1632850,1974265,41.6,50.3,8.1,"placa / caldo",TRUE,"serie de temperatura"
"SRR12653240","Pl25",14304227,7889918,5919199,55.16,41.38,3.46,"placa / caldo",TRUE,"serie de temperatura"
"SRR12653239","Pl30",2786511,1040336,1528948,37.33,54.87,7.8,"placa / caldo",TRUE,"serie de temperatura"
"SRR12653245","Pl30",19424593,7315694,10744600,37.66,55.31,7.03,"placa / caldo",TRUE,"serie de temperatura"
"SRR12653253","Pl37",14571581,6434736,7296347,44.16,50.07,5.77,"placa / caldo",TRUE,"serie de temperatura"
"SRR12653254","Pl37",10755965,4169634,6116488,38.77,56.87,4.36,"placa / caldo",TRUE,"serie de temperatura"
"SRR12653241","pH06",17677995,7546712,9356011,42.69,52.92,4.39,"placa / caldo",TRUE,"serie de pH"
"SRR12653243","pH06",18947385,7783637,10338962,41.08,54.57,4.35,"placa / caldo",TRUE,"serie de pH"
"SRR12653242","pH07",17494614,4931575,11157378,28.19,63.78,8.03,"placa / caldo",TRUE,"serie de pH"
"SRR12653250","pH07",19615158,4765745,13700121,24.3,69.84,5.86,"placa / caldo",TRUE,"serie de pH"
"SRR12653247","pH08",19928370,6780076,11946512,34.02,59.95,6.03,"placa / caldo",TRUE,"serie de pH"
"SRR12653255","pH08",14899375,5162312,7934030,34.65,53.25,12.1,"placa / caldo",TRUE,"serie de pH"
"SRR12653246","PlBG",8451630,3650196,3399101,43.19,40.22,16.59,"placa + atmosfera sanguinea",FALSE,"no pertenece a las series de temperatura ni de pH"
"SRR12653248","PlBG",6899648,3257434,2739307,47.21,39.7,13.09,"placa + atmosfera sanguinea",FALSE,"no pertenece a las series de temperatura ni de pH"
"SRR12653249","PlBG",7066188,3249419,2772975,45.99,39.24,14.77,"placa + atmosfera sanguinea",FALSE,"no pertenece a las series de temperatura ni de pH"
"SRR12653234","HB37",11026685,440904,7145159,4,64.8,31.2,"sangre humana",FALSE,"matriz distinta (separada en PC1) y pocas lecturas asignadas a CDS"
"SRR12653237","HB37",12417343,391872,7671099,3.16,61.78,35.06,"sangre humana",FALSE,"matriz distinta (separada en PC1) y pocas lecturas asignadas a CDS"
"SRR12653238","HB37",10341147,471162,6809393,4.56,65.85,29.59,"sangre humana",FALSE,"matriz distinta (separada en PC1) y pocas lecturas asignadas a CDS"
"SRR12653244","HBBG",14039393,883392,8277396,6.29,58.96,34.75,"sangre humana",FALSE,"matriz distinta (separada en PC1) y pocas lecturas asignadas a CDS"
"SRR12653251","HBBG",4974188,207630,2783423,4.17,55.96,39.87,"sangre humana",FALSE,"matriz distinta (separada en PC1) y pocas lecturas asignadas a CDS"
"SRR12653252","HBBG",8952548,491549,5763515,5.49,64.38,30.13,"sangre humana",FALSE,"matriz distinta (separada en PC1) y pocas lecturas asignadas a CDS"
"SRR12653235","HUVE",17414885,59457,181693,0.34,1.04,98.62,"celulas endoteliales",FALSE,"matriz distinta (separada en PC1) y pocas lecturas asignadas a CDS"
"SRR12653256","HUVE",20759346,45186,163043,0.22,0.79,98.99,"celulas endoteliales",FALSE,"matriz distinta (separada en PC1) y pocas lecturas asignadas a CDS"
