"locus","particionA","particionB","misma_direccion"
"BARBAKC583_RS04185",0.6,1.37,TRUE
"BARBAKC583_RS05045",-1.54,-2.74,TRUE
"BARBAKC583_RS05420",-1.41,-3.04,TRUE
"BARBAKC583_RS05425",-0.95,-1.82,TRUE
"BARBAKC583_RS05430",-0.28,-1.9,TRUE
"BARBAKC583_RS05435",-0.52,-1.34,TRUE
"BARBAKC583_RS05445",-0.24,-1.59,TRUE
"BARBAKC583_RS05465",-0.8,-2.14,TRUE
"BARBAKC583_RS05470",-0.31,-1.28,TRUE
"BARBAKC583_RS05485",-0.43,-0.98,TRUE
"BARBAKC583_RS05490",-0.37,-1.15,TRUE
"BARBAKC583_RS05495",-0.89,-1.22,TRUE
"BARBAKC583_RS05510",-0.76,-1.33,TRUE
"BARBAKC583_RS05550",-0.55,-2.83,TRUE
"BARBAKC583_RS05555",-0.87,-2.5,TRUE
"BARBAKC583_RS05560",-0.84,-2.38,TRUE
"BARBAKC583_RS05570",-0.93,-2.13,TRUE
"BARBAKC583_RS05575",-1.71,-3.09,TRUE
"BARBAKC583_RS05580",-0.81,-2.26,TRUE
"BARBAKC583_RS05585",-0.79,-1.86,TRUE
"BARBAKC583_RS05590",-1.02,-1.65,TRUE
"BARBAKC583_RS05595",-0.86,-2.07,TRUE
"BARBAKC583_RS05600",-1.41,-2.08,TRUE
"BARBAKC583_RS05605",-1.1,-1.8,TRUE
"BARBAKC583_RS05615",-1.47,-3.3,TRUE
"BARBAKC583_RS05620",-1.73,-2.92,TRUE
"BARBAKC583_RS05635",-1.57,-3.82,TRUE
"BARBAKC583_RS05640",-1.34,-2.02,TRUE
"BARBAKC583_RS05685",-0.71,-0.94,TRUE
"BARBAKC583_RS05690",-1.16,-1.63,TRUE
"BARBAKC583_RS07245",-0.98,-3.05,TRUE
