"wp","lt","prod","Pl25","Pl30","Pl37"
"WP_005765660.1","BARBAKC583_RS00005","Bax inhibitor-1/YccA family protein",27945,53327,64070
"WP_005765663.1","BARBAKC583_RS00010","endonuclease/exonuclease/phosphatase family protein",895,704,625
"WP_005765665.1","BARBAKC583_RS00015","DNA polymerase I",2102,1580,1392
"WP_005765667.1","BARBAKC583_RS00030","DNA polymerase III subunit epsilon",232,171,199
"WP_005765670.1","BARBAKC583_RS00035","dephospho-CoA kinase",213,158,144
"WP_005765671.1","BARBAKC583_RS00040","shikimate dehydrogenase",228,169,153
"WP_005765673.1","BARBAKC583_RS00045","Maf family nucleotide pyrophosphatase",269,227,215
"WP_011807237.1","BARBAKC583_RS00050","pyruvate, water dikinase regulatory protein",584,428,422
"WP_011807238.1","BARBAKC583_RS00055","transcription termination factor Rho",5985,6655,5003
"WP_005765686.1","BARBAKC583_RS00060","tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE",2205,1336,1278
"WP_005765688.1","BARBAKC583_RS00065","tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG",1315,804,965
"WP_005765690.1","BARBAKC583_RS00070","16S rRNA (guanine(527)-N(7))-methyltransferase RsmG",687,424,480
"WP_005765692.1","BARBAKC583_RS00075","ParA family protein",1340,1838,1983
"WP_005765693.1","BARBAKC583_RS00080","ParB/RepB/Spo0J family partition protein",1084,1107,1177
"WP_005765696.1","BARBAKC583_RS00085","hypothetical protein",505,606,357
"WP_005765698.1","BARBAKC583_RS00090","septation protein A",1184,964,1478
"WP_005765700.1","BARBAKC583_RS00095","signal recognition particle-docking protein FtsY",1585,1357,1724
"WP_005765702.1","BARBAKC583_RS00100","tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB",1902,1686,2167
"WP_005765704.1","BARBAKC583_RS00105","diaminopimelate epimerase",761,875,1149
"WP_005765706.1","BARBAKC583_RS00110","AprI/Inh family metalloprotease inhibitor",1904,1664,1649
"WP_005765708.1","BARBAKC583_RS00115","cell division protein ZapE",774,428,402
"WP_005765710.1","BARBAKC583_RS00120","malate dehydrogenase",2286,1732,1874
"WP_005765712.1","BARBAKC583_RS00125","ADP-forming succinate--CoA ligase subunit beta",4843,2971,3925
"WP_005765714.1","BARBAKC583_RS00130","succinate--CoA ligase subunit alpha",3304,2422,3000
"WP_005765715.1","BARBAKC583_RS00135","2-oxoglutarate dehydrogenase E1 component",7718,4623,7148
"WP_005765716.1","BARBAKC583_RS00140","2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase",4116,2115,4253
"WP_005765717.1","BARBAKC583_RS00145","dihydrolipoyl dehydrogenase",2750,1185,2507
"WP_005765729.1","BARBAKC583_RS00150","saccharopine dehydrogenase family protein",2319,2221,2124
