"categoria","termino","descripcion","genes_universo","genes_conjunto","esperados","p","genes","q"
"Process","GO:0006355","Regulation of transcription, DNA-templated",34,14,6,0.000937546045080358,"RS00300;RS00365;RS00805;RS01625;RS02030;RS02060;RS03090;RS03095;RS04785;RS06475;RS06670;greA;rpoH;yacG",0.0921659201491187
"Process","GO:0051252","Regulation of RNA metabolic process",34,14,6,0.000937546045080358,"RS00300;RS00365;RS00805;RS01625;RS02030;RS02060;RS03090;RS03095;RS04785;RS06475;RS06670;greA;rpoH;yacG",0.0921659201491187
"Process","GO:1903506","Regulation of nucleic acid-templated transcription",34,14,6,0.000937546045080358,"RS00300;RS00365;RS00805;RS01625;RS02030;RS02060;RS03090;RS03095;RS04785;RS06475;RS06670;greA;rpoH;yacG",0.0921659201491187
"Process","GO:2001141","Regulation of RNA biosynthetic process",34,14,6,0.000937546045080358,"RS00300;RS00365;RS00805;RS01625;RS02030;RS02060;RS03090;RS03095;RS04785;RS06475;RS06670;greA;rpoH;yacG",0.0921659201491187
"Process","GO:0009266","Response to temperature stimulus",4,4,0.7,0.000950164125248647,"clpB;dnaJ;lon;rpoH",0.0921659201491187
"Process","GO:0009408","Response to heat",4,4,0.7,0.000950164125248647,"clpB;dnaJ;lon;rpoH",0.0921659201491187
"Process","GO:0050794","Regulation of cellular process",66,22,11.7,0.00112709926453622,"RS00300;RS00365;RS00805;RS01625;RS02030;RS02060;RS02065;RS02110;RS03090;RS03095;RS04400;RS04785;RS06475;RS06480;RS06670;efp;greA;lpdA;phoU;rpoH;tsf;yacG",0.0937102531371539
"Process","GO:0019219","Regulation of nucleobase-containing compound metabolic process",35,14,6.2,0.00132113795551377,"RS00300;RS00365;RS00805;RS01625;RS02030;RS02060;RS03090;RS03095;RS04785;RS06475;RS06670;greA;rpoH;yacG",0.0961127862636269
"Process","GO:0006090","Pyruvate metabolic process",15,8,2.7,0.00172449120362951,"RS00690;RS00695;RS02575;RS02580;RS05110;pdhA;tpiA;ubiC",0.111517097834708
"Process","GO:0050789","Regulation of biological process",87,26,15.4,0.00249220389411024,"RS00300;RS00365;RS00805;RS01625;RS02030;RS02060;RS02065;RS02110;RS03090;RS03095;RS04400;RS04590;RS04605;RS04785;RS06475;RS06480;RS06670;efp;greA;lpdA;murA;murD;phoU;rpoH;tsf;yacG",0.113746829788311
"Process","GO:0006096","Glycolytic process",7,5,1.2,0.00254073674784886,"RS00690;RS00695;RS02580;RS05110;tpiA",0.113746829788311
"Process","GO:0006757","ATP generation from ADP",7,5,1.2,0.00254073674784886,"RS00690;RS00695;RS02580;RS05110;tpiA",0.113746829788311
"Process","GO:0046031","ADP metabolic process",7,5,1.2,0.00254073674784886,"RS00690;RS00695;RS02580;RS05110;tpiA",0.113746829788311
"Process","GO:0065007","Biological regulation",93,27,16.4,0.0032782668647006,"RS00300;RS00365;RS00805;RS01625;RS02030;RS02060;RS02065;RS02110;RS03090;RS03095;RS04400;RS04590;RS04605;RS04785;RS06475;RS06480;RS06670;efp;greA;lpdA;murA;murD;nhaA;phoU;rpoH;tsf;yacG",0.120698257085695
"Process","GO:0000160","Phosphorelay signal transduction system",20,9,3.5,0.00393932490311584,"RS00300;RS01625;RS02060;RS02065;RS02110;RS04400;RS04785;RS06475;RS06480",0.120698257085695
"Process","GO:0007165","Signal transduction",20,9,3.5,0.00393932490311584,"RS00300;RS01625;RS02060;RS02065;RS02110;RS04400;RS04785;RS06475;RS06480",0.120698257085695
"Process","GO:0023052","Signaling",20,9,3.5,0.00393932490311584,"RS00300;RS01625;RS02060;RS02065;RS02110;RS04400;RS04785;RS06475;RS06480",0.120698257085695
"Process","GO:0035556","Intracellular signal transduction",20,9,3.5,0.00393932490311584,"RS00300;RS01625;RS02060;RS02065;RS02110;RS04400;RS04785;RS06475;RS06480",0.120698257085695
"Process","GO:0009628","Response to abiotic stimulus",5,4,0.9,0.00409058056801465,"clpB;dnaJ;lon;rpoH",0.120698257085695
"Process","GO:0031323","Regulation of cellular metabolic process",51,17,9,0.00423196033274277,"RS00300;RS00365;RS00805;RS01625;RS02030;RS02060;RS03090;RS03095;RS04785;RS06475;RS06670;efp;greA;phoU;rpoH;tsf;yacG",0.120698257085695
"Process","GO:0006086","acetyl-CoA biosynthetic process from pyruvate",3,3,0.5,0.00544630158389946,"RS02575;RS02580;pdhA",0.120698257085695
"Process","GO:0006457","Protein folding",14,7,2.5,0.00545192309678126,"RS01900;clpB;dnaJ;dnaK;groES;groL;grpE",0.120698257085695
"Process","GO:0006165","Nucleoside diphosphate phosphorylation",8,5,1.4,0.00580678900068635,"RS00690;RS00695;RS02580;RS05110;tpiA",0.120698257085695
"Process","GO:0009135","Purine nucleoside diphosphate metabolic process",8,5,1.4,0.00580678900068635,"RS00690;RS00695;RS02580;RS05110;tpiA",0.120698257085695
"Process","GO:0009179","Purine ribonucleoside diphosphate metabolic process",8,5,1.4,0.00580678900068635,"RS00690;RS00695;RS02580;RS05110;tpiA",0.120698257085695
"Process","GO:0009185","Ribonucleoside diphosphate metabolic process",8,5,1.4,0.00580678900068635,"RS00690;RS00695;RS02580;RS05110;tpiA",0.120698257085695
"Process","GO:0016052","Carbohydrate catabolic process",8,5,1.4,0.00580678900068635,"RS00690;RS00695;RS02580;RS05110;tpiA",0.120698257085695
"Process","GO:0046939","Nucleotide phosphorylation",8,5,1.4,0.00580678900068635,"RS00690;RS00695;RS02580;RS05110;tpiA",0.120698257085695
"Process","GO:0009889","Regulation of biosynthetic process",49,16,8.7,0.00691217587002183,"RS00300;RS00365;RS00805;RS01625;RS02030;RS02060;RS03090;RS03095;RS04785;RS06475;RS06670;efp;greA;rpoH;tsf;yacG",0.129770527624281
"Process","GO:0010556","Regulation of macromolecule biosynthetic process",49,16,8.7,0.00691217587002183,"RS00300;RS00365;RS00805;RS01625;RS02030;RS02060;RS03090;RS03095;RS04785;RS06475;RS06670;efp;greA;rpoH;tsf;yacG",0.129770527624281
"Process","GO:0031326","Regulation of cellular biosynthetic process",49,16,8.7,0.00691217587002183,"RS00300;RS00365;RS00805;RS01625;RS02030;RS02060;RS03090;RS03095;RS04785;RS06475;RS06670;efp;greA;rpoH;tsf;yacG",0.129770527624281
"Keyword","KW-0670","Pyruvate",7,5,1.2,0.00254073674784886,"RS02575;RS02580;murA;pdhA;ubiC",0.170161757246469
"Keyword","KW-0346","Stress response",13,7,2.3,0.00319950678813137,"RS02960;clpB;dnaJ;dnaK;grpE;lon;rpoH",0.170161757246469
"Keyword","KW-0805","Transcription regulation",23,10,4.1,0.00323091944138866,"RS00300;RS00805;RS01625;RS02060;RS03090;RS04785;RS06475;RS06670;greA;rpoH",0.170161757246469
"Process","GO:0010468","Regulation of gene expression",51,16,9,0.010587674475531,"RS00300;RS00365;RS00805;RS01625;RS02030;RS02060;RS03090;RS03095;RS04785;RS06475;RS06670;efp;greA;rpoH;tsf;yacG",0.19256332952372
"Keyword","KW-0804","Transcription",28,11,4.9,0.00521834938645674,"RS00300;RS00805;RS01625;RS02060;RS03090;RS04785;RS06475;RS06670;greA;rpoH;rpoZ",0.206124800765041
"Process","GO:0019222","Regulation of metabolic process",56,17,9.9,0.0121067732260014,"RS00300;RS00365;RS00805;RS01625;RS02030;RS02060;RS03090;RS03095;RS04785;RS06475;RS06670;efp;greA;phoU;rpoH;tsf;yacG",0.213519455076752
"Process","GO:0051171","Regulation of nitrogen compound metabolic process",53,16,9.4,0.0156655263988508,"RS00300;RS00365;RS00805;RS01625;RS02030;RS02060;RS03090;RS03095;RS04785;RS06475;RS06670;efp;greA;rpoH;tsf;yacG",0.25567143439241
"Process","GO:0080090","Regulation of primary metabolic process",53,16,9.4,0.0156655263988508,"RS00300;RS00365;RS00805;RS01625;RS02030;RS02060;RS03090;RS03095;RS04785;RS06475;RS06670;efp;greA;rpoH;tsf;yacG",0.25567143439241
"Process","GO:0032787","Monocarboxylic acid metabolic process",36,12,6.4,0.0158147279005614,"RS00690;RS00695;RS02575;RS02580;RS05110;fabA;fabB;fabI;fabI;pdhA;tpiA;ubiC",0.25567143439241
"Function","GO:0005515","Protein binding",11,7,1.9,0.000848744550876055,"RS01900;RS05340;dnaJ;dnaK;greA;groL;grpE",0.261413321669825
"Process","GO:0006085","acetyl-CoA biosynthetic process",4,3,0.7,0.0189347139598519,"RS02575;RS02580;pdhA",0.294634956172918
"Process","GO:0009132","Nucleoside diphosphate metabolic process",10,5,1.8,0.0192373339081974,"RS00690;RS00695;RS02580;RS05110;tpiA",0.294634956172918
"Process","GO:0051301","Cell division",25,9,4.4,0.0212358041139866,"RS02535;RS04400;RS04590;RS04605;murA;murD;tolB;tolQ;yihA",0.316903538316415
"Process","GO:0060255","Regulation of macromolecule metabolic process",55,16,9.7,0.022460666308125,"RS00300;RS00365;RS00805;RS01625;RS02030;RS02060;RS03090;RS03095;RS04785;RS06475;RS06670;efp;greA;rpoH;tsf;yacG",0.326802694783219
"KEGG","bbk00010","Glycolysis / Gluconeogenesis",17,8,3,0.00470869396917672,"RS00690;RS00695;RS02575;RS02580;RS05110;lpdA;pdhA;tpiA",0.339025965780724
"Keyword","KW-0902","Two-component regulatory system",9,5,1.6,0.0112059539715017,"RS00300;RS02060;RS04785;RS06475;RS06480",0.34787246250522
"Keyword","KW-0143","Chaperone",16,7,2.8,0.0132103466774134,"clpB;dnaJ;dnaK;groES;groL;grpE;rimM",0.34787246250522
"Keyword","KW-0690","Ribosome biogenesis",7,4,1.2,0.0212909227382319,"rimM;rimP;ruvX;ybeY",0.480566541805807
"Process","GO:0007154","Cell communication",27,9,4.8,0.0352700077887285,"RS00300;RS01625;RS02060;RS02065;RS02110;RS04400;RS04785;RS06475;RS06480",0.500662061781463
"Keyword","KW-0597","Phosphoprotein",18,7,3.2,0.0267672377877046,"RS00300;RS01625;RS02060;RS04400;RS04785;RS06475;dnaK",0.528652946307165
"Process","GO:0006084","acetyl-CoA metabolic process",5,3,0.9,0.0412009140476078,"RS02575;RS02580;pdhA",0.570926951802565
"KEGG","bbk02020","Two-component system",28,10,4.9,0.0163086417188711,"RS01425;RS02110;RS03030;RS03155;RS04400;RS04785;RS06015;RS06475;RS06480;chpT",0.587111101879359
"Keyword","KW-0324","Glycolysis",5,3,0.9,0.0412009140476078,"RS00690;RS05110;tpiA",0.660419388253463
"Keyword","KW-0489","Methyltransferase",32,10,5.7,0.04179869545908,"RS00365;RS01645;RS04045;RS04480;RS06130;RS06680;RS06685;rsmH;trmD;ubiG",0.660419388253463
"Keyword","KW-0238","DNA-binding",56,15,9.9,0.0538914336756219,"RS00300;RS00805;RS01330;RS01625;RS02060;RS02365;RS03090;RS04785;RS06030;RS06075;RS06475;RS06670;dnaN;greA;rpoH",0.706238469485771
"Keyword","KW-0131","Cell cycle",25,8,4.4,0.0581082285019938,"RS04400;RS04590;RS04605;murA;murD;tolB;tolQ;yihA",0.706238469485771
"Keyword","KW-0132","Cell division",25,8,4.4,0.0581082285019938,"RS04400;RS04590;RS04605;murA;murD;tolB;tolQ;yihA",0.706238469485771
