"categoria","termino","descripcion","genes_universo","genes_conjunto","esperados","p","genes","q"
"Keyword","KW-0282","Flagellum",26,26,6.4,6.18254818570403e-17,"RS05045;RS05445;RS05470;RS05495;RS05555;RS05570;RS05620;RS05635;flgA;flgB;flgC;flgD;flgF;flgG;flgK;flhA;flhB;fliE;fliF;fliK;fliN;fliP;fliQ;fliR;motA;motC",3.25614204447079e-15
"Keyword","KW-0966","Cell projection",26,26,6.4,6.18254818570403e-17,"RS05045;RS05445;RS05470;RS05495;RS05555;RS05570;RS05620;RS05635;flgA;flgB;flgC;flgD;flgF;flgG;flgK;flhA;flhB;fliE;fliF;fliK;fliN;fliP;fliQ;fliR;motA;motC",3.25614204447079e-15
"Keyword","KW-0969","Cilium",26,26,6.4,6.18254818570403e-17,"RS05045;RS05445;RS05470;RS05495;RS05555;RS05570;RS05620;RS05635;flgA;flgB;flgC;flgD;flgF;flgG;flgK;flhA;flhB;fliE;fliF;fliK;fliN;fliP;fliQ;fliR;motA;motC",3.25614204447079e-15
"KEGG","bbk02040","Flagellar assembly",25,25,6.2,2.69559100896695e-16,"RS05045;RS05445;RS05470;RS05495;RS05570;RS05600;RS05620;RS05635;flgA;flgB;flgC;flgD;flgF;flgG;flgH;flgK;flhA;flhB;fliE;fliF;fliN;fliP;fliQ;fliR;motA",1.9408255264562e-14
"Component","GO:0009288","Bacterial-type flagellum",19,19,4.7,1.736820352126e-12,"RS05045;RS05445;RS05470;RS05555;RS05570;RS05620;RS05635;flgB;flgC;flgF;flgG;flgH;flgK;fliE;fliF;fliN;fliP;fliQ;fliR",5.8183481796221e-11
"Component","GO:0042995","Cell projection",19,19,4.7,1.736820352126e-12,"RS05045;RS05445;RS05470;RS05555;RS05570;RS05620;RS05635;flgB;flgC;flgF;flgG;flgH;flgK;fliE;fliF;fliN;fliP;fliQ;fliR",5.8183481796221e-11
"Component","GO:0009425","Bacterial-type flagellum basal body",16,16,3.9,1.33877923079028e-10,"RS05470;RS05555;RS05570;RS05620;RS05635;flgB;flgC;flgF;flgG;flgH;fliE;fliF;fliN;fliP;fliQ;fliR",2.98994028209829e-09
"Keyword","KW-0975","Bacterial flagellum",14,14,3.5,2.38932438315666e-09,"RS05045;RS05445;RS05470;RS05570;flgB;flgC;flgF;flgG;flgH;fliE;fliF;fliN;fliQ;fliR",9.4378313134688e-08
"Process","GO:0001539","Cilium or flagellum-dependent cell motility",12,12,3,4.21478263674167e-08,"RS05555;RS05570;RS05620;RS05635;flgB;flgC;flgG;flgH;fliE;fliF;fliN;motA",8.17667831527885e-06
"Process","GO:0048870","Cell motility",12,12,3,4.21478263674167e-08,"RS05555;RS05570;RS05620;RS05635;flgB;flgC;flgG;flgH;fliE;fliF;fliN;motA",8.17667831527885e-06
"Process","GO:0097588","Archaeal or bacterial-type flagellum-dependent cell motility",12,12,3,4.21478263674167e-08,"RS05555;RS05570;RS05620;RS05635;flgB;flgC;flgG;flgH;fliE;fliF;fliN;motA",8.17667831527885e-06
"Process","GO:0071973","Bacterial-type flagellum-dependent cell motility",11,11,2.7,1.76254546627379e-07,"RS05555;RS05570;RS05620;RS05635;flgB;flgC;flgG;flgH;fliE;fliF;fliN",2.56450365342836e-05
"Process","GO:0006810","Transport",131,55,32.3,2.45605344257669e-06,"RS00175;RS00245;RS00555;RS00565;RS00585;RS00855;RS01465;RS01470;RS01505;RS02205;RS02215;RS02325;RS02440;RS03320;RS03540;RS03795;RS03800;RS03805;RS03855;RS03880;RS03885;RS04360;RS04425;RS04985;RS05280;RS05285;RS05350;RS05355;RS05400;RS05405;RS05600;RS06370;RS06380;RS06525;RS06530;RS06630;RS07145;atpA;atpC;atpD;flhA;flhB;fliP;fliQ;fliR;lptF;mnhG;motA;murJ;nuoF;nuoG;nuoL;nuoN;pstA;secD",0.000285884620715926
"Process","GO:0051179","Localization",133,55,32.8,4.40347497511948e-06,"RS00175;RS00245;RS00555;RS00565;RS00585;RS00855;RS01465;RS01470;RS01505;RS02205;RS02215;RS02325;RS02440;RS03320;RS03540;RS03795;RS03800;RS03805;RS03855;RS03880;RS03885;RS04360;RS04425;RS04985;RS05280;RS05285;RS05350;RS05355;RS05400;RS05405;RS05600;RS06370;RS06380;RS06525;RS06530;RS06630;RS07145;atpA;atpC;atpD;flhA;flhB;fliP;fliQ;fliR;lptF;mnhG;motA;murJ;nuoF;nuoG;nuoL;nuoN;pstA;secD",0.000366117490788505
"Process","GO:0051234","Establishment of localization",133,55,32.8,4.40347497511948e-06,"RS00175;RS00245;RS00555;RS00565;RS00585;RS00855;RS01465;RS01470;RS01505;RS02205;RS02215;RS02325;RS02440;RS03320;RS03540;RS03795;RS03800;RS03805;RS03855;RS03880;RS03885;RS04360;RS04425;RS04985;RS05280;RS05285;RS05350;RS05355;RS05400;RS05405;RS05600;RS06370;RS06380;RS06525;RS06530;RS06630;RS07145;atpA;atpC;atpD;flhA;flhB;fliP;fliQ;fliR;lptF;mnhG;motA;murJ;nuoF;nuoG;nuoL;nuoN;pstA;secD",0.000366117490788505
"KEGG","bbk00190","Oxidative phosphorylation",34,20,8.4,1.68139873254263e-05,"RS00465;RS00555;RS00565;RS03795;RS03800;RS03805;RS03810;RS03855;atpA;atpC;atpD;nuoE;nuoF;nuoG;nuoH;nuoL;nuoN;sdhA;sdhC;sdhD",0.000605303543715345
"Process","GO:0030030","Cell projection organization",10,9,2.5,2.39438388521141e-05,"flaF;flgA;flgD;flgK;flhA;flhB;fliP;fliQ;fliR",0.00154836824577004
"Process","GO:0044781","Bacterial-type flagellum organization",10,9,2.5,2.39438388521141e-05,"flaF;flgA;flgD;flgK;flhA;flhB;fliP;fliQ;fliR",0.00154836824577004
"Keyword","KW-1278","Translocase",19,13,4.7,6.12245160192996e-05,"RS02200;RS03540;RS03795;RS03800;RS03805;RS03810;RS03885;RS05350;atpA;atpD;nuoG;nuoH;nuoN",0.00193469470620987
"Process","GO:0006996","Organelle organization",28,17,6.9,4.29567636944832e-05,"RS00540;RS00915;RS04505;addA;flaF;flgA;flgD;flgK;flhA;flhB;fliP;fliQ;fliR;parE;recG;rsfS;topA",0.00250008364701892
"Component","GO:0030694","Bacterial-type flagellum basal body, rod",5,5,1.2,0.000887789552317869,"RS05570;flgB;flgC;flgG;flgH",0.00790902541522993
"Component","GO:0033178","Proton-transporting two-sector ATPase complex, catalytic domain",5,5,1.2,0.000887789552317869,"RS00555;RS00565;atpA;atpC;atpD",0.00790902541522993
"Component","GO:0045261","Proton-transporting ATP synthase complex, catalytic core F(1)",5,5,1.2,0.000887789552317869,"RS00555;RS00565;atpA;atpC;atpD",0.00790902541522993
