"a","b","score","gen_a","gen_b"
"360095.BARBAKC583_0032","360095.BARBAKC583_0780",0.545,"RS00170","RS03805"
"360095.BARBAKC583_0032","360095.BARBAKC583_0035",0.998,"RS00170","mnhG"
"360095.BARBAKC583_0035","360095.BARBAKC583_0780",0.527,"mnhG","RS03805"
"360095.BARBAKC583_0036","360095.BARBAKC583_0621",0.405,"RS00190","RS02995"
"360095.BARBAKC583_0036","360095.BARBAKC583_1214",0.416,"RS00190","RS05920"
"360095.BARBAKC583_0036","360095.BARBAKC583_0116",0.444,"RS00190","RS00580"
"360095.BARBAKC583_0036","360095.BARBAKC583_1136",0.51,"RS00190","RS05555"
"360095.BARBAKC583_0036","360095.BARBAKC583_0314",0.573,"RS00190","RS01505"
"360095.BARBAKC583_0036","360095.BARBAKC583_0970",0.586,"RS00190","RS04690"
"360095.BARBAKC583_0036","360095.BARBAKC583_0620",0.636,"RS00190","RS02990"
"360095.BARBAKC583_0049","360095.BARBAKC583_0050",0.776,"RS00250","holA"
"360095.BARBAKC583_0050","360095.BARBAKC583_1350",0.434,"holA","RS06570"
"360095.BARBAKC583_0050","360095.BARBAKC583_1213",0.46,"holA","RS05915"
"360095.BARBAKC583_0050","360095.BARBAKC583_0987",0.486,"holA","RS04775"
"360095.BARBAKC583_0050","360095.BARBAKC583_1214",0.5,"holA","RS05920"
"360095.BARBAKC583_0050","360095.BARBAKC583_1248",0.613,"holA","RS06075"
"360095.BARBAKC583_0050","360095.BARBAKC583_0323",0.653,"holA","RS01555"
"360095.BARBAKC583_0050","360095.BARBAKC583_0064",0.689,"holA","RS00325"
"360095.BARBAKC583_0059","360095.BARBAKC583_0780",0.471,"RS00300","RS03805"
"360095.BARBAKC583_0060","360095.BARBAKC583_0062",0.58,"RS00310","tsaD"
"360095.BARBAKC583_0062","360095.BARBAKC583_0519",0.468,"tsaD","serS"
"360095.BARBAKC583_0062","360095.BARBAKC583_0064",0.547,"tsaD","RS00325"
"360095.BARBAKC583_0064","360095.BARBAKC583_1009",0.599,"RS00325","RS04870"
"360095.BARBAKC583_0064","360095.BARBAKC583_1214",0.611,"RS00325","RS05920"
"360095.BARBAKC583_0064","360095.BARBAKC583_1213",0.629,"RS00325","RS05915"
"360095.BARBAKC583_0064","360095.BARBAKC583_1350",0.644,"RS00325","RS06570"
"360095.BARBAKC583_0064","360095.BARBAKC583_0323",0.686,"RS00325","RS01555"
"360095.BARBAKC583_0071","360095.BARBAKC583_1327",0.402,"htpX","dnaJ"
"360095.BARBAKC583_0071","360095.BARBAKC583_0548",0.402,"htpX","lon"
"360095.BARBAKC583_0071","360095.BARBAKC583_0250",0.424,"htpX","RS01230"
"360095.BARBAKC583_0071","360095.BARBAKC583_1328",0.429,"htpX","dnaK"
"360095.BARBAKC583_0071","360095.BARBAKC583_1173",0.435,"htpX","groES"
"360095.BARBAKC583_0071","360095.BARBAKC583_0403",0.457,"htpX","tldD"
"360095.BARBAKC583_0071","360095.BARBAKC583_1149",0.51,"htpX","RS05620"
"360095.BARBAKC583_0071","360095.BARBAKC583_0395",0.544,"htpX","RS01900"
"360095.BARBAKC583_0071","360095.BARBAKC583_0072",0.55,"htpX","RS00365"
