"string_id","gen","locus","producto","log2FC_37vs25","conjunto_flagelar","grado"
"360095.BARBAKC583_0001","RS00005","BARBAKC583_RS00005","Bax inhibitor-1/YccA family protein",1.09,FALSE,0
"360095.BARBAKC583_0032","RS00170","BARBAKC583_RS00170","monovalent cation/H+ antiporter subunit D",-1.257,FALSE,2
"360095.BARBAKC583_0035","mnhG","BARBAKC583_RS00185","monovalent cation/H(+) antiporter subunit G",-1.208,FALSE,2
"360095.BARBAKC583_0036","RS00190","BARBAKC583_RS00190","MliC family protein",2.289,FALSE,7
"360095.BARBAKC583_0049","RS00250","BARBAKC583_RS00250","ABC transporter ATP-binding protein",-1.305,FALSE,1
"360095.BARBAKC583_0050","holA","BARBAKC583_RS00255","DNA polymerase III subunit delta",-1.162,FALSE,8
"360095.BARBAKC583_0059","RS00300","BARBAKC583_RS00300","response regulator transcription factor",1.013,FALSE,1
"360095.BARBAKC583_0060","RS00310","BARBAKC583_RS00310","EVE domain-containing protein",-1.504,FALSE,1
"360095.BARBAKC583_0062","tsaD","BARBAKC583_RS00315","tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD",-1.201,FALSE,3
"360095.BARBAKC583_0064","RS00325","BARBAKC583_RS00325","heme biosynthesis protein HemY",-1.109,FALSE,7
"360095.BARBAKC583_0071","htpX","BARBAKC583_RS00360","zinc metalloprotease HtpX",2.125,FALSE,10
"360095.BARBAKC583_0072","RS00365","BARBAKC583_RS00365","RsmB/NOP family class I SAM-dependent RNA methyltransferase",1.64,FALSE,5
"360095.BARBAKC583_0075","RS06725","BARBAKC583_RS06725","DUF1127 domain-containing protein",-2.108,FALSE,0
"360095.BARBAKC583_0079","cobT","BARBAKC583_RS00395","cobaltochelatase subunit CobT",-1.325,FALSE,0
"360095.BARBAKC583_0084","RS00420","BARBAKC583_RS00420","SapC family protein",1.486,FALSE,4
"360095.BARBAKC583_0088","sdhC","BARBAKC583_RS00450","succinate dehydrogenase, cytochrome b556 subunit",-1.471,FALSE,6
"360095.BARBAKC583_0089","sdhD","BARBAKC583_RS00455","succinate dehydrogenase, hydrophobic membrane anchor protein",-1.546,FALSE,3
"360095.BARBAKC583_0090","sdhA","BARBAKC583_RS00460","succinate dehydrogenase flavoprotein subunit",-1.601,FALSE,10
"360095.BARBAKC583_0092","RS00470","BARBAKC583_RS00470","ubiquinone biosynthesis hydroxylase",1.134,FALSE,1
"360095.BARBAKC583_0106","fsa","BARBAKC583_RS00535","fructose-6-phosphate aldolase",1.039,FALSE,1
"360095.BARBAKC583_0112","atpA","BARBAKC583_RS00560","F0F1 ATP synthase subunit alpha",-1.141,FALSE,20
"360095.BARBAKC583_0113","RS00565","BARBAKC583_RS00565","F0F1 ATP synthase subunit gamma",-1.206,FALSE,15
"360095.BARBAKC583_0114","atpD","BARBAKC583_RS00570","F0F1 ATP synthase subunit beta",-1.225,FALSE,17
"360095.BARBAKC583_0115","atpC","BARBAKC583_RS00575","ATP synthase F1 subunit epsilon",-1.302,FALSE,11
"360095.BARBAKC583_0116","RS00580","BARBAKC583_RS00580","MFS transporter",-1.255,FALSE,7
"360095.BARBAKC583_0117","RS00585","BARBAKC583_RS00585","HlyD family secretion protein",-1.205,FALSE,7
"360095.BARBAKC583_0123","RS00610","BARBAKC583_RS00610","CarD family transcriptional regulator",1.153,FALSE,2
"360095.BARBAKC583_0129","RS00640","BARBAKC583_RS00640","glycine zipper domain-containing protein",1.762,FALSE,5
"360095.BARBAKC583_0186","RS00910","BARBAKC583_RS00910","hypothetical protein",-1.675,FALSE,1
"360095.BARBAKC583_0187","RS00915","BARBAKC583_RS00915","toprim domain-containing protein",-2.11,FALSE,7
"360095.BARBAKC583_0188","RS00920","BARBAKC583_RS00920","YdaU family protein",-1.806,FALSE,0
"360095.BARBAKC583_0193","RS00935","BARBAKC583_RS00935","hypothetical protein",-1.195,FALSE,0
"360095.BARBAKC583_0200","RS06935","BARBAKC583_RS06935","hypothetical protein",1.058,FALSE,0
"360095.BARBAKC583_0209","purE","BARBAKC583_RS01020","5-(carboxyamino)imidazole ribonucleotide mutase",1.366,FALSE,0
"360095.BARBAKC583_0212","RS01050","BARBAKC583_RS01050","Maf family protein",1.466,FALSE,1
"360095.BARBAKC583_0213","yacG","BARBAKC583_RS01055","DNA gyrase inhibitor YacG",1.535,FALSE,3
"360095.BARBAKC583_0216","clpB","BARBAKC583_RS01060","ATP-dependent chaperone ClpB",3.305,FALSE,9
"360095.BARBAKC583_0219","RS01070","BARBAKC583_RS01070","hypothetical protein",2.215,FALSE,0
"360095.BARBAKC583_0221","RS01085","BARBAKC583_RS01085","hypothetical protein",2.75,FALSE,0
"360095.BARBAKC583_0226","RS01090","BARBAKC583_RS01090","hypothetical protein",2.176,FALSE,0
"360095.BARBAKC583_0228","RS01105","BARBAKC583_RS01105","portal protein",-1.818,FALSE,10
"360095.BARBAKC583_0229","RS01110","BARBAKC583_RS01110","hypothetical protein",-2.248,FALSE,1
"360095.BARBAKC583_0230","RS01115","BARBAKC583_RS01115","N4-gp56 family major capsid protein",-2.658,FALSE,9
"360095.BARBAKC583_0233","RS01140","BARBAKC583_RS01140","hypothetical protein",-1.931,FALSE,3
"360095.BARBAKC583_0234","RS07170","BARBAKC583_RS07170","hypothetical protein",-1.858,FALSE,3
"360095.BARBAKC583_0235","RS01155","BARBAKC583_RS01155","tail fiber domain-containing protein",-1.675,FALSE,3
"360095.BARBAKC583_0238","RS01175","BARBAKC583_RS01175","phage tail protein",-1.424,FALSE,7
"360095.BARBAKC583_0239","RS01180","BARBAKC583_RS01180","hypothetical protein",-1.235,FALSE,0
"360095.BARBAKC583_0247","RS01215","BARBAKC583_RS01215","DUF4167 domain-containing protein",1.109,FALSE,0
"360095.BARBAKC583_0250","RS01230","BARBAKC583_RS01230","response regulator",-1.391,FALSE,33
"360095.BARBAKC583_0273","RS01325","BARBAKC583_RS01325","recombinase family protein",1.215,FALSE,2
"360095.BARBAKC583_0274","RS01330","BARBAKC583_RS01330","AbrB/MazE/SpoVT family DNA-binding domain-containing protein",3.81,FALSE,2
"360095.BARBAKC583_0275","RS01335","BARBAKC583_RS01335","type II toxin-antitoxin system VapC family toxin",3.531,FALSE,2
"360095.BARBAKC583_0276","RS01340","BARBAKC583_RS01340","helix-turn-helix domain-containing transcriptional regulator",2.941,FALSE,1
"360095.BARBAKC583_0277","RS01345","BARBAKC583_RS01345","type II toxin-antitoxin system RelE/ParE family toxin",1.815,FALSE,1
"360095.BARBAKC583_0278","RS01350","BARBAKC583_RS01350","hypothetical protein",1.867,FALSE,1
"360095.BARBAKC583_0279","RS01355","BARBAKC583_RS01355","hypothetical protein",1.708,FALSE,1
"360095.BARBAKC583_0283","RS01370","BARBAKC583_RS01370","ParA family protein",1.251,FALSE,0
"360095.BARBAKC583_0287","rpoH","BARBAKC583_RS01390","RNA polymerase sigma factor RpoH",1.323,FALSE,8
"360095.BARBAKC583_0306","RS01470","BARBAKC583_RS01470","efflux RND transporter permease subunit",-1.151,FALSE,1
"360095.BARBAKC583_0311","RS07145","BARBAKC583_RS07145","YadA-like family protein",-1.399,FALSE,1
"360095.BARBAKC583_0312","RS01500","BARBAKC583_RS01500","invasion associated locus B family protein",-1.239,FALSE,1
