"categoria","genes","inducidos","reprimidos","esp_red","p_ind","p_rep","q_ind","q_rep"
"Flagelar",30,1,29,7.3,0.998,1.17e-17,1,1.29e-16
"Ribosoma",56,7,3,13.6,0.901,1,1,1
"Chaperona",16,9,2,3.9,0.000575,0.93,0.00632,1
"TransporteABC",53,3,22,12.9,0.998,0.00356,1,0.0196
"HierroHemo",24,4,8,5.8,0.648,0.208,1,0.458
"ToxAntitox",4,2,0,1,0.149,1,0.546,1
"Fago",5,1,4,1.2,0.628,0.0139,1,0.0393
"Secrecion",3,0,3,0.7,1,0.0143,1,0.0393
"AcidosGrasos",9,3,2,2.2,0.207,0.685,0.569,1
"Traduccion",59,8,12,14.4,0.859,0.812,1,1
"Hipotetica",84,20,19,20.4,0.0962,0.691,0.529,1
