"locus","L30v25","p30v25","L37v25","p37v25","L37v30","p37v30","pct30"
"RS05635",-2.47,3e-10,-2.4,3.9e-10,0.04,0.9,103
"RS05620",-1.94,3.3e-10,-2.19,3.7e-13,-0.11,0.69,89
"RS05615",-2.21,1.3e-09,-2.11,2.9e-09,0.05,0.88,105
"RS05420",-1.61,2e-05,-2.04,3e-08,-0.15,0.58,79
"RS05045",-1.59,4.1e-07,-2,1e-10,-0.19,0.46,80
"RS05575",-2.2,3.2e-07,-1.81,9.2e-06,0.14,0.6,122
"RS07245",-2.43,4.9e-09,-1.71,1.1e-05,0.3,0.27,142
"RS05600",-1.92,7.9e-17,-1.65,6.8e-14,0.16,0.5,116
"RS05640",-1.25,8.9e-07,-1.59,1.6e-10,-0.18,0.46,79
"RS05555",-1.76,9.4e-07,-1.49,1.1e-05,0.12,0.67,118
"RS05560",-1.52,4.5e-06,-1.41,1.1e-05,0.06,0.85,108
"RS05570",-1.69,1.3e-08,-1.37,1.9e-06,0.16,0.53,123
"RS05465",-1.94,2.5e-10,-1.36,5e-06,0.32,0.21,143
"RS05580",-2.19,6.9e-12,-1.36,1e-05,0.51,0.056,161
"RS05425",-1.49,1e-09,-1.31,3.5e-08,0.11,0.68,114
"RS05605",-1.76,2.3e-08,-1.29,2.3e-05,0.24,0.35,136
"RS05595",-1.65,6.6e-09,-1.28,3e-06,0.2,0.44,129
"RS05690",-1.39,2.1e-08,-1.27,1.4e-07,0.08,0.78,109
"RS05550",-1.76,3.5e-05,-1.26,0.0018,0.19,0.49,140
"RS05585",-1.6,4.9e-09,-1.22,3.7e-06,0.21,0.4,131
"RS05590",-1.87,4.5e-12,-1.19,3e-06,0.45,0.063,157
"RS05430",-1.36,9.8e-05,-0.99,0.0036,0.18,0.5,137
"RS05495",-0.84,0.00013,-0.99,4.8e-06,-0.08,0.76,85
"RS05510",-1.74,4.2e-11,-0.9,0.00052,0.64,0.01,193
"RS05435",-1.23,4.1e-06,-0.88,0.00058,0.21,0.4,140
"RS05445",-1.46,2.3e-06,-0.86,0.0051,0.35,0.16,170
"RS05470",-0.89,0.00024,-0.7,0.0047,0.13,0.6,127
"RS05490",-0.99,0.00016,-0.69,0.0085,0.19,0.45,143
"RS05685",-0.49,0.11,-0.67,0.037,-0.06,0.83,73
"RS05485",-0.62,0.0078,-0.65,0.0048,0,0.99,95
"RS04185",0.73,0.0062,0.88,0.0012,0.06,0.84,83
