"locus","particionA","particionB","misma_direccion"
"RS04185",0.59,1.39,TRUE
"RS05045",-1.53,-2.74,TRUE
"RS05420",-1.44,-2.99,TRUE
"RS05425",-0.94,-1.8,TRUE
"RS05430",-0.29,-1.87,TRUE
"RS05435",-0.53,-1.31,TRUE
"RS05445",-0.23,-1.59,TRUE
"RS05465",-0.78,-2.14,TRUE
"RS05470",-0.29,-1.28,TRUE
"RS05485",-0.41,-0.98,TRUE
"RS05490",-0.36,-1.15,TRUE
"RS05495",-0.88,-1.22,TRUE
"RS05510",-0.75,-1.33,TRUE
"RS05550",-0.55,-2.82,TRUE
"RS05555",-0.87,-2.48,TRUE
"RS05560",-0.84,-2.37,TRUE
"RS05570",-0.91,-2.13,TRUE
"RS05575",-1.71,-3.07,TRUE
"RS05580",-0.8,-2.25,TRUE
"RS05585",-0.81,-1.82,TRUE
"RS05590",-1.03,-1.62,TRUE
"RS05595",-0.87,-2.04,TRUE
"RS05600",-1.4,-2.08,TRUE
"RS05605",-1.09,-1.8,TRUE
"RS05615",-1.46,-3.29,TRUE
"RS05620",-1.72,-2.91,TRUE
"RS05635",-1.56,-3.82,TRUE
"RS05640",-1.33,-2.02,TRUE
"RS05685",-0.7,-0.93,TRUE
"RS05690",-1.15,-1.63,TRUE
"RS07245",-0.99,-3.02,TRUE
