"run","PC1","PC2","group","name","cond","mapeo","matriz"
"SRR12653251",-24.9834478371835,4.14012218319107,"HBBG","SRR12653251","HBBG",4.17414862486098,"sangre humana"
"SRR12653234",-24.0858385121203,6.76386058558234,"HB37","SRR12653234","HB37",3.99851814031144,"sangre humana"
"SRR12653244",-23.7957440724782,6.34952249151106,"HBBG","SRR12653244","HBBG",6.29223784817477,"sangre humana"
"SRR12653238",-22.5068506694966,8.0468839207679,"HB37","SRR12653238","HB37",4.55618704578902,"sangre humana"
"SRR12653252",-22.0103648298166,3.28196059554791,"HBBG","SRR12653252","HBBG",5.49060446255077,"sangre humana"
"SRR12653237",-21.7712346618033,3.62521871657021,"HB37","SRR12653237","HB37",3.15584420918388,"sangre humana"
"SRR12653235",-13.962857225199,-21.357415556849,"HUVE","SRR12653235","HUVE",0.341414829899824,"celulas endoteliales"
"SRR12653256",-13.7227955741683,-19.9442295949436,"HUVE","SRR12653256","HUVE",0.217665816639888,"celulas endoteliales"
"SRR12653246",-8.62823077728068,-6.04609347894759,"PlBG","SRR12653246","PlBG",43.1892546171567,"placa + atmosfera sanguinea"
"SRR12653249",-1.21059646401573,-4.36925895812729,"PlBG","SRR12653249","PlBG",45.9854592037461,"placa + atmosfera sanguinea"
"SRR12653248",-0.27745623065787,-2.90957045674441,"PlBG","SRR12653248","PlBG",47.2115968814641,"placa + atmosfera sanguinea"
"SRR12653241",11.2546749930323,9.08926498568292,"pH06","SRR12653241","pH06",42.6898638674804,"placa / caldo"
"SRR12653243",11.2683835208701,8.74449268746934,"pH06","SRR12653243","pH06",41.0802704436523,"placa / caldo"
"SRR12653247",11.4387149571012,11.7934196514026,"pH08","SRR12653247","pH08",34.0222306189618,"placa / caldo"
"SRR12653255",13.0764309355998,9.78968800858637,"pH08","SRR12653255","pH08",34.6478426108478,"placa / caldo"
"SRR12653242",13.5683630416221,7.29859988208318,"pH07","SRR12653242","pH07",28.1891043723514,"placa / caldo"
"SRR12653250",14.1294330431779,6.94685906283793,"pH07","SRR12653250","pH07",24.2962355949414,"placa / caldo"
"SRR12653254",14.5393290945319,-10.6618918395558,"Pl37","SRR12653254","Pl37",38.7657825216055,"placa / caldo"
"SRR12653253",15.894704745588,-8.60241736934293,"Pl37","SRR12653253","Pl37",44.1594909982657,"placa / caldo"
"SRR12653240",16.3753605465158,3.7122937819911,"Pl25","SRR12653240","Pl25",55.1579473675858,"placa / caldo"
"SRR12653236",16.5081455006931,1.71008291047196,"Pl25","SRR12653236","Pl25",41.5997158832523,"placa / caldo"
"SRR12653245",18.972004617502,-8.50832684061982,"Pl30","SRR12653245","Pl30",37.66201948221,"placa / caldo"
"SRR12653239",19.9298718579857,-8.89306536856531,"Pl30","SRR12653239","Pl30",37.3347171426921,"placa / caldo"
