"locus","lfc_global","padj_global","lfc_yale","padj_yale"
"RS05635",-2.42,9.5e-11,-2.4,3.9e-10
"RS05620",-2.12,5.1e-10,-2.19,3.7e-13
"RS05615",-2.15,5.9e-11,-2.11,2.9e-09
"RS05420",-2.07,5.1e-09,-2.04,3e-08
"RS05045",-2.02,6.6e-12,-2,1e-10
"RS05575",-1.88,6.3e-07,-1.81,9.2e-06
"RS07245",-1.71,1.1e-05,-1.71,1.1e-05
"RS05600",-1.66,7.2e-15,-1.65,6.8e-14
"RS05640",-1.6,1.9e-11,-1.59,1.6e-10
"RS05555",-1.46,4e-05,-1.49,1.1e-05
"RS05560",-1.37,6.7e-05,-1.41,1.1e-05
"RS05570",-1.37,1.9e-06,-1.37,1.9e-06
"RS05465",-1.38,6.6e-07,-1.36,5e-06
"RS05580",-1.34,2.2e-05,-1.36,1e-05
"RS05425",-1.3,3.9e-07,-1.31,3.5e-08
"RS05605",-1.3,4.9e-06,-1.29,2.3e-05
"RS05595",-1.29,1.3e-06,-1.28,3e-06
"RS05690",-1.27,9.8e-08,-1.27,1.4e-07
"RS05550",-1.26,0.0015,-1.26,0.0018
"RS05585",-1.13,0.00091,-1.22,3.7e-06
"RS05590",-1.2,1.1e-06,-1.19,3e-06
"RS05430",-1,0.0017,-0.99,0.0036
"RS05495",-0.97,5.2e-05,-0.99,4.8e-06
"RS05510",-0.82,0.012,-0.9,0.00052
"RS05435",-0.87,0.0013,-0.88,0.00058
"RS05445",-0.87,0.0025,-0.86,0.0051
"RS05470",-0.67,0.015,-0.7,0.0047
"RS05490",-0.62,0.054,-0.69,0.0085
"RS05685",-0.7,0.014,-0.67,0.037
"RS05485",-0.62,0.021,-0.65,0.0048
"RS04185",0.9,0.00017,0.88,0.0012
