"locus","producto","L30v25","p30v25","L37v25","p37v25","L37v30","p37v30"
"BARBAKC583_RS05635","flagellar motor switch protein FliG",-2.47,2.5e-10,-2.4,3.1e-10,0.04,0.91
"BARBAKC583_RS05620","FliM/FliN family flagellar motor switch protein",-1.94,2.9e-10,-2.19,2.3e-13,-0.11,0.67
"BARBAKC583_RS05615","flagellar motor stator protein MotA",-2.21,1.1e-09,-2.11,2.4e-09,0.04,0.89
"BARBAKC583_RS05420","flagellar biosynthesis protein FliQ",-1.59,3.1e-05,-2.04,5.2e-08,-0.15,0.57
"BARBAKC583_RS05045","flagellin N-terminal helical domain-containing protein",-1.59,4e-07,-2.01,8.7e-11,-0.2,0.45
"BARBAKC583_RS05575","flagellar basal body P-ring formation chaperone FlgA",-2.2,3.2e-07,-1.81,9.1e-06,0.14,0.6
"BARBAKC583_RS07245","flagellar motor switch protein FliN",-2.43,5.6e-09,-1.72,1.1e-05,0.3,0.28
"BARBAKC583_RS05600","flagellar protein export ATPase FliI",-1.92,5.5e-17,-1.66,4.1e-14,0.16,0.51
"BARBAKC583_RS05640","flagellar biosynthesis protein FlhB",-1.25,7.4e-07,-1.6,8.7e-11,-0.19,0.45
"BARBAKC583_RS05555","flagellar basal body-associated FliL family protein",-1.75,1.1e-06,-1.5,1.2e-05,0.11,0.68
"BARBAKC583_RS05560","flagellar basal body L-ring protein FlgH",-1.51,4.7e-06,-1.41,9.9e-06,0.05,0.85
"BARBAKC583_RS05570","flagellar basal body P-ring protein FlgI",-1.68,1.3e-08,-1.37,1.6e-06,0.16,0.54
"BARBAKC583_RS05465","flagellar hook-associated protein FlgK",-1.94,2.2e-10,-1.36,4.5e-06,0.32,0.21
"BARBAKC583_RS05580","flagellar basal-body rod protein FlgG",-2.19,7.6e-12,-1.36,9.6e-06,0.5,0.06
"BARBAKC583_RS05425","flagellar hook assembly protein FlgD",-1.49,1.3e-09,-1.32,3.7e-08,0.1,0.69
"BARBAKC583_RS05595","flagellar basal body rod protein FlgB",-1.65,1.4e-08,-1.29,4.1e-06,0.19,0.45
"BARBAKC583_RS05605","flagellar basal-body rod protein FlgF",-1.76,2.2e-08,-1.29,2e-05,0.24,0.36
"BARBAKC583_RS05690","flagellar biosynthesis protein FlhA",-1.39,2.3e-08,-1.28,1.3e-07,0.07,0.8
"BARBAKC583_RS05550","flagellar type III secretion system pore protein FliP",-1.76,3.4e-05,-1.27,0.0017,0.19,0.49
"BARBAKC583_RS05585","flagellar hook-basal body complex protein FliE",-1.59,1.5e-08,-1.23,6.4e-06,0.21,0.42
"BARBAKC583_RS05590","flagellar basal body rod protein FlgC",-1.87,7.6e-12,-1.2,3.5e-06,0.44,0.072
"BARBAKC583_RS05495","flagellar motor protein MotB",-0.84,0.00012,-1,3.7e-06,-0.08,0.74
"BARBAKC583_RS05430","flagellar biosynthesis repressor FlbT",-1.35,0.00012,-0.99,0.0038,0.18,0.52
"BARBAKC583_RS05510","flagellar basal-body MS-ring/collar protein FliF",-1.74,5.4e-11,-0.9,0.00053,0.62,0.012
"BARBAKC583_RS05435","flagellar biosynthesis regulator FlaF",-1.22,7e-06,-0.89,0.00069,0.2,0.42
"BARBAKC583_RS05445","flagellar hook-associated family protein",-1.46,2.3e-06,-0.86,0.0048,0.35,0.17
"BARBAKC583_RS05470","flagellar hook protein FlgE",-0.89,0.00026,-0.7,0.0045,0.13,0.6
"BARBAKC583_RS05490","chemotaxis protein MotC",-0.99,0.00014,-0.7,0.0074,0.19,0.45
"BARBAKC583_RS05685","flagellar biosynthesis protein FliR",-0.49,0.12,-0.67,0.036,-0.07,0.82
"BARBAKC583_RS05485","flagellar hook-length control protein FliK",-0.62,0.0079,-0.66,0.0044,-0.01,0.97
"BARBAKC583_RS04185","flagellar biosynthetic protein FliO",0.73,0.0065,0.87,0.0014,0.06,0.84
