"wp","lt","prod","Pl25","Pl30","Pl37"
"WP_005767840.1","BARBAKC583_RS05735","chaperonin GroEL",41002,43266,199585
"WP_005765660.1","BARBAKC583_RS00005","Bax inhibitor-1/YccA family protein",27945,53327,64070
"WP_005766182.1","BARBAKC583_RS01390","RNA polymerase sigma factor RpoH",18035,41771,60750
"WP_005767493.1","BARBAKC583_RS04775","BA14K family protein",8441,34053,55745
"WP_005766517.1","BARBAKC583_RS02220","TonB-dependent hemoglobin/transferrin/lactoferrin family receptor",21964,30905,41052
"WP_005768116.1","BARBAKC583_RS06465","molecular chaperone DnaK",13634,22565,53793
"WP_011807398.1","BARBAKC583_RS05045","flagellin N-terminal helical domain-containing protein",57904,16796,12553
"WP_005767899.1","BARBAKC583_RS05920","outer membrane protein",58505,11347,15462
"WP_005765796.1","BARBAKC583_RS00335","NAD-glutamate dehydrogenase",21860,31774,29064
"WP_005766800.1","BARBAKC583_RS02960","Hsp20 family protein",6681,20740,43968
"WP_005767848.1","BARBAKC583_RS05755","peroxiredoxin",22452,14797,14023
"WP_005766824.1","BARBAKC583_RS03005","coiled-coil domain-containing protein",17128,18374,11529
"WP_005767022.1","BARBAKC583_RS03640","SPOR domain-containing protein",13561,19091,11573
"WP_005767842.1","BARBAKC583_RS05740","co-chaperone GroES",4378,6629,24357
"WP_005767014.1","BARBAKC583_RS03615","NADP-dependent isocitrate dehydrogenase",5776,12431,10030
