"locus","producto","lfc_global","padj_global","lfc_restr","padj_restr","dif"
"BARBAKC583_RS05635","flagellar motor switch protein FliG",-2.42,1e-10,-2.4,3.1e-10,-0.02
"BARBAKC583_RS05620","FliM/FliN family flagellar motor switch protein",-2.12,5.9e-10,-2.19,2.3e-13,0.07
"BARBAKC583_RS05615","flagellar motor stator protein MotA",-2.15,5.8e-11,-2.11,2.4e-09,-0.04
"BARBAKC583_RS05420","flagellar biosynthesis protein FliQ",-2.06,9.8e-09,-2.04,5.2e-08,-0.02
"BARBAKC583_RS05045","flagellin N-terminal helical domain-containing protein",-2.03,6e-12,-2.01,8.7e-11,-0.02
"BARBAKC583_RS05575","flagellar basal body P-ring formation chaperone FlgA",-1.88,5.9e-07,-1.81,9.1e-06,-0.07
"BARBAKC583_RS07245","flagellar motor switch protein FliN",-1.72,9.8e-06,-1.72,1.1e-05,0
"BARBAKC583_RS05600","flagellar protein export ATPase FliI",-1.66,1.5e-14,-1.66,4.1e-14,0
"BARBAKC583_RS05640","flagellar biosynthesis protein FlhB",-1.6,1.4e-11,-1.6,8.7e-11,0
"BARBAKC583_RS05555","flagellar basal body-associated FliL family protein",-1.47,3.8e-05,-1.5,1.2e-05,0.03
"BARBAKC583_RS05560","flagellar basal body L-ring protein FlgH",-1.37,6.5e-05,-1.41,9.9e-06,0.04
"BARBAKC583_RS05570","flagellar basal body P-ring protein FlgI",-1.37,2.2e-06,-1.37,1.6e-06,0
"BARBAKC583_RS05465","flagellar hook-associated protein FlgK",-1.38,8e-07,-1.36,4.5e-06,-0.02
"BARBAKC583_RS05580","flagellar basal-body rod protein FlgG",-1.34,2.3e-05,-1.36,9.6e-06,0.02
"BARBAKC583_RS05425","flagellar hook assembly protein FlgD",-1.3,3.4e-07,-1.32,3.7e-08,0.02
"BARBAKC583_RS05595","flagellar basal body rod protein FlgB",-1.3,1.1e-06,-1.29,4.1e-06,-0.01
"BARBAKC583_RS05605","flagellar basal-body rod protein FlgF",-1.31,4.5e-06,-1.29,2e-05,-0.02
"BARBAKC583_RS05690","flagellar biosynthesis protein FlhA",-1.27,1.5e-07,-1.28,1.3e-07,0.01
"BARBAKC583_RS05550","flagellar type III secretion system pore protein FliP",-1.26,0.0015,-1.27,0.0017,0.01
"BARBAKC583_RS05585","flagellar hook-basal body complex protein FliE",-1.14,0.00071,-1.23,6.4e-06,0.09
"BARBAKC583_RS05590","flagellar basal body rod protein FlgC",-1.21,8e-07,-1.2,3.5e-06,-0.01
"BARBAKC583_RS05495","flagellar motor protein MotB",-0.98,5.6e-05,-1,3.7e-06,0.02
"BARBAKC583_RS05430","flagellar biosynthesis repressor FlbT",-1.01,0.0019,-0.99,0.0038,-0.02
"BARBAKC583_RS05510","flagellar basal-body MS-ring/collar protein FliF",-0.82,0.013,-0.9,0.00053,0.08
"BARBAKC583_RS05435","flagellar biosynthesis regulator FlaF",-0.88,0.0013,-0.89,0.00069,0.01
"BARBAKC583_RS05445","flagellar hook-associated family protein",-0.87,0.0026,-0.86,0.0048,-0.01
"BARBAKC583_RS05470","flagellar hook protein FlgE",-0.67,0.015,-0.7,0.0045,0.03
"BARBAKC583_RS05490","chemotaxis protein MotC",-0.62,0.054,-0.7,0.0074,0.08
"BARBAKC583_RS05685","flagellar biosynthesis protein FliR",-0.7,0.014,-0.67,0.036,-0.03
"BARBAKC583_RS05485","flagellar hook-length control protein FliK",-0.62,0.022,-0.66,0.0044,0.04
"BARBAKC583_RS04185","flagellar biosynthetic protein FliO",0.89,0.00023,0.87,0.0014,0.02
