"transcrito","locus","locus_antiguo","gen","producto","proteina","ubicacion","hebra","longitud_nt","pseudogen","copias_identicas","en_cuantificacion","analizable","en_universo","conjunto_flagelar","categoria","TPM_Pl25","TPM_Pl30","TPM_Pl37","TPM_pH06","TPM_pH07","TPM_pH08","log2FC_37vs25","padj_37vs25","log2FC_30vs25","padj_30vs25","log2FC_37vs30","padj_37vs30","log2FC_pH6vspH8","padj_pH6vspH8"
"lcl|NC_008783.1_cds_WP_005765660.1_1","BARBAKC583_RS00005","BARBAKC583_0001",NA,"Bax inhibitor-1/YccA family protein","WP_005765660.1","213..986","+",774,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",21300.2,34948,35886.1,27238.1,29116.5,32672.9,1.09,2.96e-05,0.809,0.00189,0.141,0.576,-0.192,0.526
"lcl|NC_008783.1_cds_WP_005765663.1_2","BARBAKC583_RS00010","BARBAKC583_0003",NA,"endonuclease/exonuclease/phosphatase family protein","WP_005765663.1","1105..2004","+",900,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",568.4,383.8,295.3,454.8,503.6,257.6,-0.36,0.283,-0.235,0.503,-0.062,0.832,0.593,0.0715
"lcl|NC_008783.1_cds_WP_005765665.1_3","BARBAKC583_RS00015","BARBAKC583_0002","polA","DNA polymerase I","WP_005765665.1","complement(1970..4876)","-",2907,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",360.7,233.5,175.8,232.1,192.7,205.4,-0.567,0.00145,-0.378,0.0392,-0.128,0.552,0.189,0.364
"lcl|NC_008783.1_cds_WP_005765667.1_4","BARBAKC583_RS00030","BARBAKC583_0004","dnaQ","DNA polymerase III subunit epsilon","WP_005765667.1","complement(5177..5881)","-",705,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",198.1,125.8,126,158.2,105.9,74.9,-0.163,0.456,-0.384,0.122,0.125,0.61,0.959,3.49e-05
"lcl|NC_008783.1_cds_WP_005765670.1_5","BARBAKC583_RS00035","BARBAKC583_0005","coaE","dephospho-CoA kinase","WP_005765670.1","complement(5886..6488)","-",603,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",222.6,142.7,111.9,96.1,88.2,73,-0.435,0.171,-0.316,0.32,-0.056,0.849,0.312,0.362
"lcl|NC_008783.1_cds_WP_005765671.1_6","BARBAKC583_RS00040","BARBAKC583_0006",NA,"shikimate dehydrogenase","WP_005765671.1","complement(6485..7360)","-",876,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",148.9,95.3,74.4,85,61,45.9,-0.463,0.129,-0.334,0.272,-0.061,0.834,0.702,0.0184
"lcl|NC_008783.1_cds_WP_005765673.1_7","BARBAKC583_RS00045","BARBAKC583_0007",NA,"Maf family nucleotide pyrophosphatase","WP_005765673.1","complement(7353..7949)","-",597,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",285.2,208.6,170,128.1,116.9,145.7,-0.212,0.535,-0.171,0.644,-0.025,0.935,-0.109,0.797
"lcl|NC_008783.1_cds_WP_011807237.1_8","BARBAKC583_RS00050","BARBAKC583_0008",NA,"pyruvate, water dikinase regulatory protein","WP_011807237.1","complement(7946..8785)","-",840,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",401,253.7,214.9,154,112.2,86.7,-0.356,0.225,-0.349,0.243,-0.005,0.989,0.662,0.0244
"lcl|NC_008783.1_cds_WP_011807238.1_9","BARBAKC583_RS00055","BARBAKC583_0009","rho","transcription termination factor Rho","WP_011807238.1","9401..10666","+",1266,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",2532.8,2433.1,1569.6,1249.1,1086.6,2018,-0.171,0.559,0.108,0.746,-0.188,0.476,-0.5,0.106
"lcl|NC_008783.1_cds_WP_005765686.1_10","BARBAKC583_RS00060","BARBAKC583_0010","mnmE","tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE","WP_005765686.1","10700..12007","+",1308,FALSE,"",TRUE,TRUE,TRUE,FALSE,"Traduccion",898.9,470.7,386.3,404.8,297.2,397.8,-0.643,0.0471,-0.556,0.0764,-0.026,0.935,0.042,0.909
"lcl|NC_008783.1_cds_WP_005765688.1_11","BARBAKC583_RS00065","BARBAKC583_0011","mnmG","tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG","WP_005765688.1","12116..13984","+",1869,FALSE,"",TRUE,TRUE,TRUE,FALSE,"Traduccion",361.8,190.6,196,205.3,138.2,121.1,-0.4,0.0546,-0.647,0.00197,0.17,0.455,0.707,0.000568
"lcl|NC_008783.1_cds_WP_005765690.1_12","BARBAKC583_RS00070","BARBAKC583_0012","rsmG","16S rRNA (guanine(527)-N(7))-methyltransferase RsmG","WP_005765690.1","13984..14631","+",648,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",654.6,348.6,338,223.5,179.2,240.3,-0.425,0.121,-0.58,0.0374,0.088,0.746,-0.062,0.859
"lcl|NC_008783.1_cds_WP_005765692.1_13","BARBAKC583_RS00075","BARBAKC583_0013",NA,"ParA family protein","WP_005765692.1","14637..15434","+",798,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",981.8,1159.9,1070.7,739.6,747,460,0.545,0.000619,0.426,0.00907,0.083,0.689,0.671,1.96e-05
"lcl|NC_008783.1_cds_WP_005765693.1_14","BARBAKC583_RS00080","BARBAKC583_0014",NA,"ParB/RepB/Spo0J family partition protein","WP_005765693.1","15486..16397","+",912,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",674.6,593.5,540,411.9,383.4,361.9,0.072,0.536,0.02,0.902,0.069,0.739,0.204,0.236
"lcl|NC_008783.1_cds_WP_005765696.1_15","BARBAKC583_RS00085","BARBAKC583_0015",NA,"hypothetical protein","WP_005765696.1","complement(16398..16877)","-",480,FALSE,"",TRUE,TRUE,TRUE,FALSE,"Hipotetica",731.6,754,380.4,210.9,324.6,433.1,-0.419,0.0969,0.21,0.421,-0.528,0.0256,-0.858,0.000449
"lcl|NC_008783.1_cds_WP_005765698.1_16","BARBAKC583_RS00090","BARBAKC583_0016",NA,"septation protein A","WP_005765698.1","complement(17303..17968)","-",666,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",1086.7,764.7,1010.9,587.1,533.5,1150.2,0.212,0.493,-0.211,0.529,0.288,0.277,-0.697,0.0248
"lcl|NC_008783.1_cds_WP_005765700.1_17","BARBAKC583_RS00095","BARBAKC583_0017","ftsY","signal recognition particle-docking protein FtsY","WP_005765700.1","complement(17965..19128)","-",1164,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",738.8,545.9,594.9,349.3,447.5,484.8,0.075,0.791,-0.165,0.595,0.165,0.531,-0.346,0.265
"lcl|NC_008783.1_cds_WP_005765702.1_18","BARBAKC583_RS00100","BARBAKC583_0018","mtaB","tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB","WP_005765702.1","complement(19143..20426)","-",1284,FALSE,"",TRUE,TRUE,TRUE,FALSE,"Traduccion",793.1,606.5,667.2,414.1,454.8,406.2,0.122,0.607,-0.133,0.639,0.198,0.428,0.045,0.89
"lcl|NC_008783.1_cds_WP_005765704.1_19","BARBAKC583_RS00105","BARBAKC583_0019","dapF","diaminopimelate epimerase","WP_005765704.1","complement(20426..21274)","-",849,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",516.5,511.5,572.7,388.6,385.9,190.5,0.54,0.0161,0.166,0.48,0.247,0.276,0.939,1.08e-05
"lcl|NC_008783.1_cds_WP_005765706.1_20","BARBAKC583_RS00110","BARBAKC583_0020",NA,"AprI/Inh family metalloprotease inhibitor","WP_005765706.1","21533..22066","+",534,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",2362.2,1777.8,1509.7,1575.5,1590.1,1797.1,-0.152,0.296,-0.165,0.343,-0.01,0.965,-0.148,0.462
"lcl|NC_008783.1_cds_WP_005765708.1_21","BARBAKC583_RS00115","BARBAKC583_0021","zapE","cell division protein ZapE","WP_005765708.1","22159..23370","+",1212,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",344.8,164.3,132.7,133.3,105.6,111.6,-0.888,4.12e-05,-0.787,0.000329,-0.048,0.852,0.251,0.309
"lcl|NC_008783.1_cds_WP_005765710.1_22","BARBAKC583_RS00120","BARBAKC583_0022","mdh","malate dehydrogenase","WP_005765710.1","23638..24603","+",966,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",1327.9,866.8,807.7,1346.1,1030.9,1776,-0.225,0.223,-0.356,0.0788,0.074,0.762,-0.329,0.122
"lcl|NC_008783.1_cds_WP_005765712.1_23","BARBAKC583_RS00125","BARBAKC583_0023","sucC","ADP-forming succinate--CoA ligase subunit beta","WP_005765712.1","24684..25880","+",1197,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",2185.3,1157.4,1315,1728.4,1291.9,1736.5,-0.207,0.468,-0.559,0.0614,0.189,0.468,0.019,0.958
"lcl|NC_008783.1_cds_WP_005765714.1_24","BARBAKC583_RS00130","BARBAKC583_0024","sucD","succinate--CoA ligase subunit alpha","WP_005765714.1","25884..26786","+",903,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",2077.3,1314.1,1397.7,2224.3,1825.2,2222.4,-0.09,0.67,-0.38,0.115,0.181,0.453,0.029,0.918
"lcl|NC_008783.1_cds_WP_005765715.1_25","BARBAKC583_RS00135","BARBAKC583_0025",NA,"2-oxoglutarate dehydrogenase E1 component","WP_005765715.1","26939..29938","+",3000,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",1278.1,660.5,877.8,1073,765.3,1141.2,-0.07,0.77,-0.632,0.0146,0.391,0.0914,-0.046,0.888
"lcl|NC_008783.1_cds_WP_005765716.1_26","BARBAKC583_RS00140","BARBAKC583_0026","odhB","2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase","WP_005765716.1","29972..31177","+",1206,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",1840.1,816.8,1416.2,1807.8,1246.5,2153.3,0.029,0.935,-0.74,0.025,0.557,0.0476,-0.157,0.693
"lcl|NC_008783.1_cds_WP_005765717.1_27","BARBAKC583_RS00145","BARBAKC583_0027","lpdA","dihydrolipoyl dehydrogenase","WP_005765717.1","31210..32616","+",1407,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",1034.3,384.3,703.6,1204.6,707.5,1202.2,-0.085,0.772,-1.022,0.000713,0.733,0.00949,0.03,0.929
"lcl|NC_008783.1_cds_WP_005765729.1_28","BARBAKC583_RS00150","BARBAKC583_0028",NA,"saccharopine dehydrogenase family protein","WP_005765729.1","complement(32755..33993)","-",1239,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",1006.9,831.8,679.4,604.7,715.8,917.8,-0.082,0.741,-0.047,0.87,-0.034,0.911,-0.474,0.0782
"lcl|NC_008783.1_cds_WP_005765731.1_29","BARBAKC583_RS00155","BARBAKC583_0029",NA,"carboxynorspermidine decarboxylase","WP_005765731.1","complement(34049..35146)","-",1098,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",321.5,242.1,197.1,250.6,241.8,408.2,-0.188,0.494,-0.147,0.642,-0.034,0.911,-0.528,0.0715
"lcl|NC_008783.1_cds_WP_005765733.1_30","BARBAKC583_RS00160","BARBAKC583_0030",NA,"monovalent cation/H+ antiporter subunit A","WP_005765733.1","35897..38818","+",2922,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",337.9,91,113.5,126.2,96.2,145.4,-0.962,0.005,-1.425,3.93e-05,0.227,0.399,-0.117,0.773
"lcl|NC_008783.1_cds_WP_005765735.1_31","BARBAKC583_RS00165","BARBAKC583_0031",NA,"Na+/H+ antiporter subunit C","WP_005765735.1","38818..39156","+",339,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",294.9,97.1,89.3,118.7,91.4,156.4,-0.947,0.024,-0.957,0.0186,0.029,0.927,-0.205,0.625
"lcl|NC_008783.1_cds_WP_011807240.1_32","BARBAKC583_RS00170","BARBAKC583_0032",NA,"monovalent cation/H+ antiporter subunit D","WP_011807240.1","39159..40781","+",1623,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",238,47.9,56.8,92.9,50.6,105.4,-1.257,0.00286,-1.631,0.00016,0.135,0.607,-0.083,0.852
"lcl|NC_008783.1_cds_WP_005765739.1_33","BARBAKC583_RS00175","BARBAKC583_0033",NA,"Na+/H+ antiporter subunit E","WP_005765739.1","40778..41263","+",486,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",216.5,83.1,72.6,111.5,76,119.5,-0.882,0.0248,-0.854,0.0246,0.014,0.963,-0.043,0.913
"lcl|NC_008783.1_cds_WP_005765740.1_34","BARBAKC583_RS00180","BARBAKC583_0034",NA,"K+/H+ antiporter subunit F","WP_005765740.1","41260..41541","+",282,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",206.8,60.6,76.6,74,50.6,80.3,-0.622,0.155,-0.93,0.0325,0.12,0.641,-0.041,0.919
"lcl|NC_008783.1_cds_WP_005765741.1_35","BARBAKC583_RS00185","BARBAKC583_0035","mnhG","monovalent cation/H(+) antiporter subunit G","WP_005765741.1","41538..41930","+",393,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",329.9,52,76.5,132.7,91.5,464.5,-1.208,0.00715,-1.785,0.000164,0.189,0.469,-0.985,0.00653
"lcl|NC_008783.1_cds_WP_005765743.1_36","BARBAKC583_RS00190","BARBAKC583_0036",NA,"MliC family protein","WP_005765743.1","complement(41962..42354)","-",393,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",1211,2881.3,4916.8,1805.8,2015.9,1758.7,2.289,1.06e-14,1.282,1.78e-05,0.684,0.0119,0.053,0.887
"lcl|NC_008783.1_cds_WP_005765745.1_37","BARBAKC583_RS00195","BARBAKC583_0037","aroB","3-dehydroquinate synthase","WP_005765745.1","complement(42771..43904)","-",1134,FALSE,"",TRUE,TRUE,TRUE,FALSE,"",132.2,218.3,140,76.4,157.2,53.9,0.436,0.125,0.802,0.00503,-0.208,0.424,0.422,0.153
