BARBAKC583_RS04185	876134	876655	+	flagellar biosynthetic protein FliO
BARBAKC583_RS05045	1076957	1078099	-	flagellin N-terminal helical domain-containing protein
BARBAKC583_RS05420	1154995	1155261	-	flagellar biosynthesis protein FliQ
BARBAKC583_RS05425	1155258	1155830	-	flagellar hook assembly protein FlgD
BARBAKC583_RS05430	1155848	1156264	-	flagellar biosynthesis repressor FlbT
BARBAKC583_RS05435	1156311	1156679	-	flagellar biosynthesis regulator FlaF
BARBAKC583_RS05445	1156699	1157781	-	flagellar hook-associated family protein
BARBAKC583_RS05465	1157789	1159159	-	flagellar hook-associated protein FlgK
BARBAKC583_RS05470	1159187	1160401	-	flagellar hook protein FlgE
BARBAKC583_RS05485	1162143	1163438	-	flagellar hook-length control protein FliK
BARBAKC583_RS05490	1163435	1164799	-	chemotaxis protein MotC
BARBAKC583_RS05495	1164887	1165960	-	flagellar motor protein MotB
BARBAKC583_RS05510	1166740	1168401	-	flagellar basal-body MS-ring/collar protein FliF
BARBAKC583_RS05550	1179074	1179826	-	flagellar type III secretion system pore protein FliP
BARBAKC583_RS05555	1179823	1180320	-	flagellar basal body-associated FliL family protein
BARBAKC583_RS05560	1180414	1181106	-	flagellar basal body L-ring protein FlgH
BARBAKC583_RS05570	1182004	1183242	-	flagellar basal body P-ring protein FlgI
BARBAKC583_RS05575	1183242	1183700	-	flagellar basal body P-ring formation chaperone FlgA
BARBAKC583_RS05580	1183706	1184494	-	flagellar basal-body rod protein FlgG
BARBAKC583_RS05585	1184552	1184884	-	flagellar hook-basal body complex protein FliE
BARBAKC583_RS05590	1184961	1185374	-	flagellar basal body rod protein FlgC
BARBAKC583_RS05595	1185377	1185763	-	flagellar basal body rod protein FlgB
BARBAKC583_RS05600	1186171	1187784	-	flagellar protein export ATPase FliI
BARBAKC583_RS05605	1187848	1188582	-	flagellar basal-body rod protein FlgF
BARBAKC583_RS05615	1189729	1190604	+	flagellar motor stator protein MotA
BARBAKC583_RS05620	1190607	1191578	+	FliM/FliN family flagellar motor switch protein
BARBAKC583_RS05635	1192737	1193825	+	flagellar motor switch protein FliG
BARBAKC583_RS05640	1193988	1195058	+	flagellar biosynthesis protein FlhB
BARBAKC583_RS05685	1198598	1199395	-	flagellar biosynthesis protein FliR
BARBAKC583_RS05690	1199410	1201494	-	flagellar biosynthesis protein FlhA
BARBAKC583_RS07245	1192288	1192707	+	flagellar motor switch protein FliN
