BARBAKC583_RS00005	213	986	+	Bax inhibitor-1/YccA family protein
BARBAKC583_RS00010	1105	2004	+	endonuclease/exonuclease/phosphatase family protein
BARBAKC583_RS00015	1970	4876	-	DNA polymerase I
BARBAKC583_RS00030	5177	5881	-	DNA polymerase III subunit epsilon
BARBAKC583_RS00035	5886	6488	-	dephospho-CoA kinase
BARBAKC583_RS00040	6485	7360	-	shikimate dehydrogenase
BARBAKC583_RS00045	7353	7949	-	Maf family nucleotide pyrophosphatase
BARBAKC583_RS00050	7946	8785	-	pyruvate, water dikinase regulatory protein
BARBAKC583_RS00055	9401	10666	+	transcription termination factor Rho
BARBAKC583_RS00060	10700	12007	+	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
BARBAKC583_RS00065	12116	13984	+	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG
BARBAKC583_RS00070	13984	14631	+	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
BARBAKC583_RS00075	14637	15434	+	ParA family protein
BARBAKC583_RS00080	15486	16397	+	ParB/RepB/Spo0J family partition protein
BARBAKC583_RS00085	16398	16877	-	hypothetical protein
BARBAKC583_RS00090	17303	17968	-	septation protein A
BARBAKC583_RS00095	17965	19128	-	signal recognition particle-docking protein FtsY
BARBAKC583_RS00100	19143	20426	-	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB
BARBAKC583_RS00105	20426	21274	-	diaminopimelate epimerase
BARBAKC583_RS00110	21533	22066	+	AprI/Inh family metalloprotease inhibitor
BARBAKC583_RS00115	22159	23370	+	cell division protein ZapE
BARBAKC583_RS00120	23638	24603	+	malate dehydrogenase
BARBAKC583_RS00125	24684	25880	+	ADP-forming succinate--CoA ligase subunit beta
BARBAKC583_RS00130	25884	26786	+	succinate--CoA ligase subunit alpha
BARBAKC583_RS00135	26939	29938	+	2-oxoglutarate dehydrogenase E1 component
BARBAKC583_RS00140	29972	31177	+	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase
BARBAKC583_RS00145	31210	32616	+	dihydrolipoyl dehydrogenase
BARBAKC583_RS00150	32755	33993	-	saccharopine dehydrogenase family protein
BARBAKC583_RS00155	34049	35146	-	carboxynorspermidine decarboxylase
BARBAKC583_RS00160	35897	38818	+	monovalent cation/H+ antiporter subunit A
BARBAKC583_RS00165	38818	39156	+	Na+/H+ antiporter subunit C
BARBAKC583_RS00170	39159	40781	+	monovalent cation/H+ antiporter subunit D
BARBAKC583_RS00175	40778	41263	+	Na+/H+ antiporter subunit E
BARBAKC583_RS00180	41260	41541	+	K+/H+ antiporter subunit F
BARBAKC583_RS00185	41538	41930	+	monovalent cation/H(+) antiporter subunit G
BARBAKC583_RS00190	41962	42354	-	MliC family protein
BARBAKC583_RS00195	42771	43904	-	3-dehydroquinate synthase
BARBAKC583_RS00200	43873	44499	-	shikimate kinase
BARBAKC583_RS00205	44758	45696	+	site-specific tyrosine recombinase XerD
BARBAKC583_RS00210	45772	46728	+	acetyl-CoA carboxylase carboxyltransferase subunit alpha
BARBAKC583_RS00215	46764	47507	+	L,D-transpeptidase family protein
BARBAKC583_RS00220	48142	49230	-	D-alanyl-D-alanine carboxypeptidase family protein
BARBAKC583_RS00225	49321	50127	-	lysophospholipid acyltransferase family protein
BARBAKC583_RS00240	51060	52037	+	ABC transporter substrate-binding protein
BARBAKC583_RS00245	52089	52982	+	ABC transporter permease
BARBAKC583_RS00250	52979	53773	+	ABC transporter ATP-binding protein
BARBAKC583_RS00255	53777	54820	+	DNA polymerase III subunit delta
BARBAKC583_RS00260	54956	55813	+	YihY/virulence factor BrkB family protein
BARBAKC583_RS00265	55832	56329	+	YaiI/YqxD family protein
BARBAKC583_RS00270	56331	57029	-	TlpA disulfide reductase family protein
BARBAKC583_RS00275	57063	58463	+	argininosuccinate lyase
BARBAKC583_RS00280	58522	58701	+	lipoprotein
BARBAKC583_RS00285	58710	59984	+	diaminopimelate decarboxylase
BARBAKC583_RS00290	60099	62516	+	TIGR02302 family protein
BARBAKC583_RS00295	62798	63532	+	class I SAM-dependent methyltransferase
BARBAKC583_RS00300	63674	64360	-	response regulator transcription factor
BARBAKC583_RS00305	64505	64999	+	L,D-transpeptidase family protein
BARBAKC583_RS00310	64996	65424	-	EVE domain-containing protein
BARBAKC583_RS00315	65516	66610	-	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
BARBAKC583_RS00320	66994	68352	+	COG4223 family protein
BARBAKC583_RS00325	68364	69959	+	heme biosynthesis protein HemY
BARBAKC583_RS00330	70042	70809	+	glutamine amidotransferase
BARBAKC583_RS00335	71085	75794	-	NAD-glutamate dehydrogenase
BARBAKC583_RS00340	76074	76730	+	carbonic anhydrase
BARBAKC583_RS00345	76976	78523	+	signal recognition particle protein
BARBAKC583_RS00350	78953	79315	+	30S ribosomal protein S16
BARBAKC583_RS00355	79464	79670	-	DUF1674 domain-containing protein
BARBAKC583_RS00360	79755	80786	+	zinc metalloprotease HtpX
BARBAKC583_RS00365	80897	82267	+	RsmB/NOP family class I SAM-dependent RNA methyltransferase
BARBAKC583_RS00370	82335	84044	+	heparinase II/III family protein
BARBAKC583_RS00375	84215	85831	+	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
BARBAKC583_RS00380	86488	87294	-	SURF1 family protein
BARBAKC583_RS00385	87569	87865	+	50S ribosomal protein L28
BARBAKC583_RS00390	87990	88652	+	VUT family protein
BARBAKC583_RS00395	88851	90746	-	cobaltochelatase subunit CobT
BARBAKC583_RS00400	90761	91747	-	cobaltochelatase subunit CobS
BARBAKC583_RS00405	92015	92635	-	J domain-containing protein
BARBAKC583_RS00410	92751	93029	+	BolA family protein
BARBAKC583_RS00415	93072	94040	-	tyrosine recombinase XerC
BARBAKC583_RS00420	94043	94864	-	SapC family protein
BARBAKC583_RS00425	94994	95569	+	ribosome maturation factor RimM
BARBAKC583_RS00430	95619	96317	+	tRNA (guanosine(37)-N1)-methyltransferase TrmD
BARBAKC583_RS00435	96523	96963	+	50S ribosomal protein L19
BARBAKC583_RS00450	97559	97960	+	succinate dehydrogenase, cytochrome b556 subunit
BARBAKC583_RS00455	97979	98365	+	succinate dehydrogenase, hydrophobic membrane anchor protein
BARBAKC583_RS00460	98370	100217	+	succinate dehydrogenase flavoprotein subunit
BARBAKC583_RS00465	100233	101012	+	succinate dehydrogenase iron-sulfur subunit
BARBAKC583_RS00470	101601	102845	-	ubiquinone biosynthesis hydroxylase
BARBAKC583_RS00475	103019	105439	+	DNA translocase FtsK
BARBAKC583_RS00480	105736	106368	+	LolA family protein
BARBAKC583_RS00485	106374	107189	+	exodeoxyribonuclease III
BARBAKC583_RS00490	107648	108847	+	efflux RND transporter periplasmic adaptor subunit
BARBAKC583_RS00495	108876	110882	+	MacB family efflux pump subunit
BARBAKC583_RS00500	111411	112019	-	YdcF family protein
BARBAKC583_RS00505	112169	113143	-	cell division protein FtsX
BARBAKC583_RS00510	113136	113795	-	cell division ATP-binding protein FtsE
BARBAKC583_RS00515	113949	115907	-	acetate--CoA ligase
BARBAKC583_RS00520	116070	116750	-	YggS family pyridoxal phosphate-dependent enzyme
BARBAKC583_RS00525	117102	119729	+	leucine--tRNA ligase
BARBAKC583_RS00530	119716	120294	+	LPS assembly lipoprotein LptE
BARBAKC583_RS00535	120668	121321	-	fructose-6-phosphate aldolase
BARBAKC583_RS00540	121855	124092	+	primosomal protein N'
BARBAKC583_RS00545	124223	124855	+	hypothetical protein
BARBAKC583_RS00555	125149	125733	+	F0F1 ATP synthase subunit delta
BARBAKC583_RS00560	125733	127268	+	F0F1 ATP synthase subunit alpha
BARBAKC583_RS00565	127285	128193	+	F0F1 ATP synthase subunit gamma
BARBAKC583_RS00570	128216	129829	+	F0F1 ATP synthase subunit beta
BARBAKC583_RS00575	129877	130293	+	ATP synthase F1 subunit epsilon
BARBAKC583_RS00580	130318	131937	+	MFS transporter
BARBAKC583_RS00585	131954	132955	+	HlyD family secretion protein
BARBAKC583_RS00590	133498	134754	+	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
BARBAKC583_RS00595	135152	136054	-	polyprenyl synthetase family protein
BARBAKC583_RS00600	136049	136849	+	monofunctional biosynthetic peptidoglycan transglycosylase
BARBAKC583_RS00605	137075	137260	+	50S ribosomal protein L32
BARBAKC583_RS00610	137770	138348	-	CarD family transcriptional regulator
BARBAKC583_RS00615	138644	138982	-	ferredoxin FdxA
BARBAKC583_RS00620	139004	140584	-	hypothetical protein
BARBAKC583_RS00625	141073	141984	+	RNA polymerase factor sigma-32
BARBAKC583_RS00630	142085	143515	-	M48 family metalloprotease
BARBAKC583_RS00635	143768	144403	+	thiamine diphosphokinase
BARBAKC583_RS00640	144855	145235	+	glycine zipper domain-containing protein
BARBAKC583_RS00645	145302	147134	+	ABC-F family ATP-binding cassette domain-containing protein
BARBAKC583_RS00655	147131	147388	-	DUF2312 domain-containing protein
BARBAKC583_RS00660	147710	148258	+	DUF1036 domain-containing protein
BARBAKC583_RS00665	148633	149016	-	cell division protein ZapA
BARBAKC583_RS00670	149030	149305	-	DUF4164 domain-containing protein
BARBAKC583_RS00675	149603	151603	+	transketolase
BARBAKC583_RS00680	151605	152612	+	type I glyceraldehyde-3-phosphate dehydrogenase
BARBAKC583_RS00690	152911	154113	+	phosphoglycerate kinase
BARBAKC583_RS00695	154252	155280	+	class I fructose-bisphosphate aldolase
BARBAKC583_RS00705	156268	157587	-	Tol-Pal system beta propeller repeat protein TolB
BARBAKC583_RS00715	157638	159155	-	hypothetical protein
BARBAKC583_RS00720	159281	159733	-	ExbD/TolR family protein
BARBAKC583_RS00725	159746	160453	-	protein TolQ
BARBAKC583_RS00735	160943	161383	-	tol-pal system-associated acyl-CoA thioesterase
BARBAKC583_RS00740	161376	162485	-	Holliday junction branch migration DNA helicase RuvB
BARBAKC583_RS00745	162493	163146	-	Holliday junction branch migration protein RuvA
BARBAKC583_RS00750	163151	163654	-	crossover junction endodeoxyribonuclease RuvC
BARBAKC583_RS00755	164316	164834	-	DUF1465 family protein
BARBAKC583_RS00760	165212	166318	-	OpgC family protein
BARBAKC583_RS00765	166422	167099	+	thiamine phosphate synthase
BARBAKC583_RS00770	167096	168199	+	tetratricopeptide repeat protein
BARBAKC583_RS00775	168871	169443	+	elongation factor P
BARBAKC583_RS00780	169447	170238	+	inositol monophosphatase family protein
BARBAKC583_RS00785	170500	172320	-	ABC transporter transmembrane domain-containing protein
BARBAKC583_RS00800	172494	172715	+	50S ribosomal protein L31
BARBAKC583_RS00805	173273	174019	-	YebC/PmpR family DNA-binding transcriptional regulator
BARBAKC583_RS00810	174562	175263	+	DUF1013 domain-containing protein
BARBAKC583_RS00815	175581	176105	+	peptidoglycan-associated lipoprotein Pal
BARBAKC583_RS00835	179267	181561	+	ATP-dependent zinc metalloprotease FtsH
BARBAKC583_RS00845	182309	183661	+	phosphoglucosamine mutase
BARBAKC583_RS00855	184498	185469	+	MotA/TolQ/ExbB proton channel family protein
BARBAKC583_RS00860	185469	185927	+	biopolymer transporter ExbD
BARBAKC583_RS00875	187140	187694	-	dUTP diphosphatase
BARBAKC583_RS00885	188775	189578	-	VIT1/CCC1 transporter family protein
BARBAKC583_RS00890	190035	190607	-	disulfide bond formation protein B
BARBAKC583_RS00895	190620	191240	-	YqaA family protein
BARBAKC583_RS00910	192958	193590	-	hypothetical protein
BARBAKC583_RS00915	193655	196021	-	toprim domain-containing protein
BARBAKC583_RS00920	196797	197813	-	YdaU family protein
BARBAKC583_RS00925	197896	198225	+	hypothetical protein
BARBAKC583_RS00930	198720	199034	+	hypothetical protein
BARBAKC583_RS00935	199345	199758	+	hypothetical protein
BARBAKC583_RS00945	199764	199952	+	hypothetical protein
BARBAKC583_RS00950	199958	200158	+	hypothetical protein
BARBAKC583_RS00965	200567	201226	+	lambda exonuclease family protein
BARBAKC583_RS00975	202726	204021	+	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
BARBAKC583_RS00980	204599	205447	-	TIGR00282 family metallophosphoesterase
BARBAKC583_RS00985	205450	206088	-	5-formyltetrahydrofolate cyclo-ligase
BARBAKC583_RS00990	207002	207853	-	tetratricopeptide repeat protein
BARBAKC583_RS01015	209516	210667	-	5-(carboxyamino)imidazole ribonucleotide synthase
BARBAKC583_RS01020	210676	211173	-	5-(carboxyamino)imidazole ribonucleotide mutase
