BARBAKC583_RS00005	WP_005765660.1
BARBAKC583_RS00010	WP_005765663.1
BARBAKC583_RS00015	WP_005765665.1
BARBAKC583_RS00030	WP_005765667.1
BARBAKC583_RS00035	WP_005765670.1
BARBAKC583_RS00040	WP_005765671.1
BARBAKC583_RS00045	WP_005765673.1
BARBAKC583_RS00050	WP_011807237.1
BARBAKC583_RS00055	WP_011807238.1
BARBAKC583_RS00060	WP_005765686.1
BARBAKC583_RS00065	WP_005765688.1
BARBAKC583_RS00070	WP_005765690.1
BARBAKC583_RS00075	WP_005765692.1
BARBAKC583_RS00080	WP_005765693.1
BARBAKC583_RS00085	WP_005765696.1
BARBAKC583_RS00090	WP_005765698.1
BARBAKC583_RS00095	WP_005765700.1
BARBAKC583_RS00100	WP_005765702.1
BARBAKC583_RS00105	WP_005765704.1
BARBAKC583_RS00110	WP_005765706.1
BARBAKC583_RS00115	WP_005765708.1
BARBAKC583_RS00120	WP_005765710.1
BARBAKC583_RS00125	WP_005765712.1
BARBAKC583_RS00130	WP_005765714.1
BARBAKC583_RS00135	WP_005765715.1
BARBAKC583_RS00140	WP_005765716.1
BARBAKC583_RS00145	WP_005765717.1
BARBAKC583_RS00150	WP_005765729.1
BARBAKC583_RS00155	WP_005765731.1
BARBAKC583_RS00160	WP_005765733.1
BARBAKC583_RS00165	WP_005765735.1
BARBAKC583_RS00170	WP_011807240.1
BARBAKC583_RS00175	WP_005765739.1
BARBAKC583_RS00180	WP_005765740.1
BARBAKC583_RS00185	WP_005765741.1
BARBAKC583_RS00190	WP_005765743.1
BARBAKC583_RS00195	WP_005765745.1
BARBAKC583_RS00200	WP_005765747.1
BARBAKC583_RS00205	WP_005765749.1
BARBAKC583_RS00210	WP_005765751.1
BARBAKC583_RS00215	WP_005765753.1
BARBAKC583_RS00220	WP_005765755.1
BARBAKC583_RS00225	WP_005765757.1
BARBAKC583_RS00240	WP_035453345.1
BARBAKC583_RS00245	WP_005765763.1
BARBAKC583_RS00250	WP_005765764.1
BARBAKC583_RS00255	WP_005765766.1
BARBAKC583_RS00260	WP_005765768.1
BARBAKC583_RS00265	WP_005765769.1
BARBAKC583_RS00270	WP_005765771.1
BARBAKC583_RS00275	WP_005765773.1
BARBAKC583_RS00280	WP_005765774.1
BARBAKC583_RS00285	WP_005765777.1
BARBAKC583_RS00290	WP_005765779.1
BARBAKC583_RS00295	WP_005765781.1
BARBAKC583_RS00300	WP_005765783.1
