especie	proteina_kc583	producto_kc583	acierto	producto_acierto	identidad	cobertura	vuelta_en_kc583	producto_vuelta	reciproco
clarridgeiae	WP_005767250.1	flagellar biosynthetic protein FliO	WP_155914832.1	flagellar biosynthetic protein FliO	65.116	24	WP_005767250.1	flagellar biosynthetic protein FliO	si
clarridgeiae	WP_005767719.1	flagellar biosynthesis protein FliQ	WP_013544835.1	flagellar biosynthesis protein FliQ	93.182	100	WP_005767719.1	flagellar biosynthesis protein FliQ	si
clarridgeiae	WP_005767721.1	flagellar hook assembly protein FlgD	WP_013544834.1	flagellar hook assembly protein FlgD	75.912	68	WP_005767721.1	flagellar hook assembly protein FlgD	si
clarridgeiae	WP_005767722.1	flagellar biosynthesis repressor FlbT	WP_013544833.1	flagellar biosynthesis repressor FlbT	81.203	96	WP_005767722.1	flagellar biosynthesis repressor FlbT	si
clarridgeiae	WP_005767724.1	flagellar biosynthesis regulator FlaF	WP_013544832.1	flagellar biosynthesis regulator FlaF	89.344	100	WP_005767724.1	flagellar biosynthesis regulator FlaF	si
clarridgeiae	WP_005767726.1	flagellar hook-associated family protein	WP_013544831.1	flagellar hook-associated family protein	68.056	100	WP_005767726.1	flagellar hook-associated family protein	si
clarridgeiae	WP_005767728.1	flagellar hook-associated protein FlgK	WP_013544830.1	flagellar hook-associated protein FlgK	72.807	100	WP_005767728.1	flagellar hook-associated protein FlgK	si
clarridgeiae	WP_005767730.1	flagellar hook protein FlgE	WP_013544829.1	flagellar hook protein FlgE	77.586	100	WP_005767730.1	flagellar hook protein FlgE	si
clarridgeiae	WP_005767740.1	flagellar hook-length control protein FliK	WP_026501246.1	flagellar hook-length control protein FliK	42.350	100	WP_005767740.1	flagellar hook-length control protein FliK	si
clarridgeiae	WP_005767742.1	chemotaxis protein MotC	WP_013544825.1	MotC family chemotaxis protein	57.275	95	WP_005767742.1	chemotaxis protein MotC	si
clarridgeiae	WP_005767744.1	flagellar motor protein MotB	WP_013544824.1	flagellar motor protein MotB	61.838	100	WP_005767744.1	flagellar motor protein MotB	si
clarridgeiae	WP_005767748.1	flagellar basal-body MS-ring/collar protein FliF	WP_013544822.1	flagellar basal-body MS-ring/collar protein FliF	82.033	99	WP_005767748.1	flagellar basal-body MS-ring/collar protein FliF	si
